SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE-FORM TYPE,SEEN AT,GROWTH FORM,SPECIFIC LOCATION,GENERAL LOCATION,HEMISPHERE,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS,SOURCE,NOTES,IMAGE
asphodelus fistulosus,hollow asphodel,onion-leafed asphodel,asphodelus,asphodelaceae,asparagales,monocots,,,hemicryptophyte,Kew,herb,,Mediterranean,northern,Wild,Low,None,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/8/8d/Asphodelus_fistulosus_1.jpg
asphodelus ramosus,branched asphodel,branched asphodel,asphodelus,asphodelaceae,asparagales,monocots,,day-lily,hemicryptophyte,Scandinavian forest,herb,,Mediterranean,northern,Wild,Low,None,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/9/90/Asphodelus_ramosus.jpg
asplenium nidus,nest spleenwort,birds nest fern,asplenium,aspleniacea,polypodiales,ferns,,,hemicryptophyte,jakarta,herb,,Worldwide,both,Cultivated,High,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/e/e2/Asplenium_nidus_fronds_and_emerging_fiddleheads.jpg
athyrium niponicum,Japanese lady fern,japanese painted fern,athyrium,athyriaceae,polypodiales,ferns,,,hemicryptophyte,knighton,herb,Japan,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/d/de/Japanese_painted_fern.jpg
atriplex halimus,salt-loving orache,saltbush,atriplex,amaranthaceae,caryophyllales,dicots,,,hemicryptophyte,shaumari reserve,shrub,,Mediterranean,northern,Wild,Low,None,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/a/a2/Atriplex_halimus_2.jpg
atriplex lentiformis,lens-shaped orache,big saltbush,atriplex,amaranthaceae,caryophyllales,dicots,,amaranth,hemicryptophyte,Expo,shrub,Western United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/9/92/Atriplex_lentiformis.jpg
austrocylindropuntia subulata,awl-shaped southern cylinder cactus,eve's needle cactus,austrocylindropuntia,cactaceae,caryophyllales,dicots,,cactus,phanerophyte,Turqoise mtn,shrub,Peru,South America,southern,Cultivated,Moderate,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/e/ea/Austrocylindropuntia_subulata1MHNT.jpg
avena sativa,cultivated oat,oats,avena,poaceae,poales,monocots,,grasses,hemicryptophyte,Fifty plants,herb,,Mediterranean,northern,Cultivated,High,Major,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/3/32/Avena-sativa.jpg
averrhoa carambola,carambola averrhoa,star fruit,averrhoa,oxalidaceae,oxalidales,dicots,,,phanerophyte,jember,tree,Indonesia,Asia,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/6/62/Carambola_Starfruit.jpg
avicennia officinalis,medicinal avicennia,indian mangrove,avicennia,acanthaceae,lamiales,dicots,mangroves,mangroves,phanerophyte,online,tree,India,South Asia,northern,Wild,Low,None,Locally common,natural,Salt-tolerant mangrove,https://upload.wikimedia.org/wikipedia/commons/3/31/Avicennia_officinalis_01.JPG
bambusa vulgaris,common bamboo,bamboo,bambusa,poaceae,poales,monocots,bamboos,,hemicryptophyte,luang prabang,herb,,Asia,northern,Both,Moderate,Major,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/0/0f/Bambusa_vulgaris-2.jpg
banksia ericafolia,heather-leaved banksia,lantern banksia,banksia,proteaceae,proteales,dicots,,,phanerophyte,perth,shrub,Australia,Oceania,southern,Wild,Low,None,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/b/b5/Banksia_ericifolia_2_email.jpg
banksia integrifolia,entire-leaved banksia,coastal banksia,banksia,proteaceae,proteales,dicots,,,phanerophyte,Kew,tree,Australia,Oceania,southern,Both,Low,None,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/f/f8/Banksia_integrifolia_subsp._integrifolia_A_Omeo_email.jpg
banksia robur,oak-like banksia,swamp banksia,banksia,proteaceae,proteales,dicots,,,phanerophyte,sydney,shrub,Australia,Oceania,southern,Wild,Low,None,Locally common,natural,,https://upload.wikimedia.org/wikipedia/commons/b/b6/Banksia_robur.jpg
banksia serrata,saw-edged banksia,old man banksia,banksia,proteaceae,proteales,dicots,,,phanerophyte,Kew,tree,Australia,Oceania,southern,Wild,Low,None,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/4/4e/Banksia_serrata_email.jpg
baptisia alba,white baptisia,white wild indigo,baptisia,fabaceae,fabales,dicots,,,hemicryptophyte,new york,herb,Eastern United States,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/2/21/BaptisiaAlbaHabitus.jpg
basella alba,white basella,malabar spinach,basella,basellaceae,caryophyllales,dicots,basella,,hemicryptophyte,around amman,herb,India,Asia,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/0/0f/Basella_alba-2.JPG
bauhinia variegata,variegated bauhinia,orchid tree,bauhinia,fabaceae,fabales,dicots,,,phanerophyte,kintbury,tree,India,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/7/71/Bauhinia_variegata_flower.jpg
bauhinia x blakeana,Blake's bauhinia,hong kong orchid tree,bauhinia,fabaceae,fabales,dicots,,,phanerophyte,jakarta,tree,Hong Kong,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,"Sterile hybrid, emblem of Hong Kong",https://upload.wikimedia.org/wikipedia/commons/7/73/Bauhinia_blakeana_flowers.JPG
beaucarnea reurverata,,elephants foot,beaucarnea,asparagaceae,asparagales,monocots,,asparagus,phanerophyte,office,tree,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
begonia cucullata,hooded begonia,clubbed begonia,begonia,begoniaceae,cucurbitales,dicots,,,hemicryptophyte,kintbury,herb,Brazil,South America,southern,Cultivated,High,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/5/5e/Begonia_semperflorens_red_2.jpg
begonia formosana,Formosan begonia,clubbed begonia,begonia,begoniaceae,cucurbitales,dicots,,,hemicryptophyte,singapore,herb,Taiwan,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/2/25/Begonia_formosana_%28Taiwan_begonia%29_-_%E6%B0%B4%E9%B4%A8%E8%85%B3_-_2.jpg
berberis darwinii,Darwin's barberry,darwins barberry,berberis,berberidaceae,ranunculales,dicots,,,phanerophyte,london,shrub,Chile,South America,southern,Both,Moderate,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/6/62/Berberis_darwinii_shoot.jpg
berberis thunbergii,Thunberg's barberry,red barberry,berberis,berberidaceae,ranunculales,dicots,,,phanerophyte,knighton,shrub,Japan,Asia,northern,Both,High,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/5/5f/Berberis_thunb_frt.jpg
betula nigra,black birch,river birch,betula,betulaceae,fagales,dicots,birches,,phanerophyte,charlevoix,tree,Eastern United States,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/6/65/Betula_nigra_MN_2007.JPG
betula pendula,hanging birch,silver birch,betula,betulaceae,fagales,dicots,birches,birches,phanerophyte,online,tree,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/f/f3/Betula_pendula_001.jpg
betula populifolia,poplar-leaved birch,gray birch,betula,betulaceae,fagales,dicots,birches,,phanerophyte,greenwich,tree,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/7/73/Betula_populifolia.jpg
bidens pilosa,hairy bidens,black-jack,bidens,asteraceae,asterales,dicots,,,hemicryptophyte,luang prabang,herb,,Tropical regions,both,Wild,Low,None,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/e/ec/Bidens_pilosa_at_Kadavoor.jpg
bismarckia nobilis,noble Bismarck palm,bismarck palm,bismarckia,arecaceae,arecales,monocots,,,phanerophyte,,tree,Madagascar,Africa,southern,Cultivated,High,Limited,Uncommon,bred,Silver-blue fan palm,https://upload.wikimedia.org/wikipedia/commons/3/3f/Bismarckia_nobilis_-_Kew_1.jpg
blechnum penna-marina,sea-feather hard fern,alpine hard fern,blechnum,blechnaceae,polypodiales,ferns,,,hemicryptophyte,perth,herb,New Zealand,Oceania,southern,Wild,Low,None,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/a/ab/Blechnum_penna-marina_Moore.jpg
bocconia frutescens,shrubby bocconia,tree poppy,bocconia,papaveraceae,ranunculales,dicots,,,phanerophyte,singapore,shrub,Mexico,Central America,northern,Cultivated,Low,None,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/8/8f/Bocconia_frutescens1.jpg
boehmeria nivea,snowy boehmeria,ramie,boehmeria,urticaceae,rosales,dicots,,,hemicryptophyte,luang prabang,herb,China,Asia,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,Fiber plant,https://upload.wikimedia.org/wikipedia/commons/7/74/Boehmeria_nivea_1.jpg
bougainvillea glabra,smooth bougainvillea,lesser bougainvillea,bougainvillea,nyctaginaceae,caryophyllales,dicots,bougainvilleas,,phanerophyte,around amman,vine,Brazil,South America,southern,Cultivated,High,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/e/ef/Lesser_bougainvillea.jpg
bougainvillea spectabilis,showy bougainvillea,bougainvillea,bougainvillea,nyctaginaceae,caryophyllales,dicots,,four-o'clocks,phanerophyte,Kempinski,vine,Brazil,South America,southern,Cultivated,High,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/b/b0/Starr_030418-0058_Bougainvillea_spectabilis.jpg
brassica oleracea,vegetable cabbage,cabbage,brassica,brassicaceae,brassicales,dicots,cabbages,mustard and cabbage,hemicryptophyte,Fifty plants,herb,,Mediterranean,northern,Cultivated,High,Major,Widespread/Common,bred,"Ancestor of cabbage, broccoli, cauliflower",https://upload.wikimedia.org/wikipedia/commons/a/a2/Brassica_oleracea0.jpg
bromus tectorum,roof brome,cheat grass,bromus,poaceae,poales,monocots,grasses,grasses,hemicryptophyte,amman,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,Invasive grass,https://upload.wikimedia.org/wikipedia/commons/c/cd/Bromus_tectorum.jpg
brugmansia arborea,tree brugmansia,angel's trumpet,brugmansia,solanaceae,solanales,dicots,,,phanerophyte,,shrub,Ecuador,South America,southern,Cultivated,High,Limited,Widespread/Common,bred,All parts toxic,https://upload.wikimedia.org/wikipedia/commons/d/d4/Brugmansia_arborea.jpg
brugmansia sanguinea,blood-red brugmansia,red angels trumpet,brugmansia,solanaceae,solanales,dicots,angels trumpets,,phanerophyte,Kew,shrub,Colombia,South America,southern,Cultivated,High,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/6/6f/Brugmansia_sanguinea_Ruiz_%26_Pav._%285509591656%29.jpg
buddleja davidii,David's buddleja,butterfly bush,buddleja,scrophulariaceae,lamiales,dicots,butterfly bushes,,phanerophyte,Bermondsey,shrub,China,East Asia,northern,Both,High,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/b/bb/Buddleja_davidii_detail.jpg
buxus sempervirens,evergreen box,common box,buxus,buxaceae,buxales,dicots,,,phanerophyte,,shrub,,Europe,northern,Both,High,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/6/67/Buxus_sempervirens_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-244.jpg
caesalpinia pulcherrima,most beautiful caesalpinia,peacock flower,caesalpinia,fabaceae,fabales,dicots,,,phanerophyte,singapore,shrub,,Central America,northern,Cultivated,High,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/3/3f/Caesalpinia_pulcherrima_flower.jpg
caesalpinia sclerocarpa,hard-fruited caesalpinia,tara,caesalpinia,fabaceae,fabales,dicots,,,phanerophyte,perth,shrub,Australia,Oceania,southern,Wild,Low,None,Widespread/Common,natural,,https://upload.wikimedia.org/wikipedia/commons/3/3b/Tara_spinosa.jpg
caladium bicolor,two-colored caladium,heart of jesus,caladium,araceae,alismatales,monocots,,,hemicryptophyte,singapore,herb,Brazil,South America,southern,Cultivated,High,Limited,Widespread/Common,bred,,https://upload.wikimedia.org/wikipedia/commons/c/c6/Caladium_bicolor_%27Florida_Sweetheart%27_Leaves_2648px.jpg
calamagrostis canadensis,,canadian reedgrass,calamagrostis,poaceae,poales,monocots,,,hemicryptophyte,knighton,herb,,North America,northern,Wild,Low,None,Widespread/Common,natural,,
calendula arvensis,,field marigold,calendula,asteraceae,asterales,dicots,,daisy and sunflower,hemicryptophyte,Scandinavian forest,herb,,Mediterranean,northern,Wild,Low,None,Widespread/Common,natural,,
calendula officinalis,,field marigold,calendula,asteraceae,asterales,dicots,,,hemicryptophyte,dorset,herb,,Mediterranean,northern,Cultivated,High,Limited,Widespread/Common,bred,,
calliandra haematocephala,,scarlet powder-puff,calliandra,fabaceae,fabales,dicots,,legumes,phanerophyte,yarmouk river,shrub,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
callianthe megapotamica,,trailling abutilon,callianthe,malvaceae,malvales,dicots,,,phanerophyte,singapore,shrub,,South America,southern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
calluna vulgaris,,common heather,calluna,ericaceae,ericales,dicots,ling,,phanerophyte,,shrub,,Europe,northern,Wild,Moderate,Limited,Widespread/Common,natural,,
calocedrus decurrens,,california incense-cedar,calocedrus,cupressaceae,cupressales,conifers,incense cedars,,phanerophyte,Kew,tree,Western United States,North America,northern,Both,Low,Limited,Widespread/Common,natural,,
calocedrus formosana,,taiwan incense cedar,calocedrus,cupressaceae,cupressales,conifers,incense cedars,,phanerophyte,kew,tree,,,,Both,Low,None,Locally common,natural,,
calophyllum inophyllum,,tamanu,calophyllum,calophyllaceae,malpighiales,dicots,,,phanerophyte,singapore,tree,,,,Both,Low,Limited,Widespread/Common,natural,,
calotropis gigantea,,crown flower,calotropis,apocynaceae,gentianales,dicots,,,phanerophyte,timor leste,shrub,,Asia,northern,Both,Low,None,Widespread/Common,natural,,
camellia japonica,,japanese camellia,camellia,theaceae,ericales,dicots,tea,,phanerophyte,Kew,shrub,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
camellia sinensis,,tea,camellia,theaceae,ericales,dicots,tea,tea,phanerophyte,Fifty plants,shrub,,Asia,northern,Cultivated,High,Major,Widespread/Common,bred,,
campsis radicans,,american trumpet vine,campsis,bignoniaceae,lamiales,dicots,trumpet vines,,phanerophyte,around amman,vine,Eastern United States,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,
canna indica,,indian shot,canna,cannaceae,zingiberales,monocots,,,hemicryptophyte,,herb,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
canna x generalis,,indian shot,canna,cannaceae,zingiberales,monocots,canna lillies,,hemicryptophyte,around amman,herb,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
cannabis sativa,,cannabis,cannabis,cannabaceae,rosales,dicots,cannabis,,hemicryptophyte,Fifty plants,herb,,Asia,northern,Cultivated,High,Major,Widespread/Common,bred,,
capparis spinosa,,caper bush,capparis,capparaceae,brassicales,dicots,caper,,phanerophyte,around amman,shrub,,Mediterranean,northern,Both,Low,Limited,Widespread/Common,natural,,
capsicum annuum,,pepper,capsicum,solanaceae,solanales,dicots,peppers,nightshades,hemicryptophyte,Fifty plants,herb,,Central America,,Cultivated,High,Major,Widespread/Common,bred,,
capsicum chinense,,habanero,capsicum,solanaceae,solanales,dicots,peppers,nightshades,hemicryptophyte,Fifty plants,herb,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
capsicum frutescens,,wild chili,capsicum,solanaceae,solanales,dicots,peppers,nightshades,hemicryptophyte,Fifty plants,herb,,Central America,,Both,Moderate,Limited,Widespread/Common,natural,,
carica papaya,,papaya,carica,caricaceae,brassicales,dicots,,papaya,phanerophyte,yarmouk river,tree,,Central America,,Cultivated,Moderate,Major,Widespread/Common,bred,,
carissa bispinosa,,num-num,carissa,apocynaceae,gentianales,dicots,,dog-banes,phanerophyte,Expo,shrub,,Africa,southern,Both,Low,Limited,Widespread/Common,natural,,
carissa macrocarpa,,natal plum,carissa,apocynaceae,gentianales,dicots,,dog-banes,phanerophyte,Kempinski,shrub,,Africa,southern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
carum carvi,,caraway,carum,apiaceae,apiales,dicots,,carrots,hemicryptophyte,Fifty plants,herb,,Europe,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
carya illinoinensis,,pecan,carya,juglandaceae,fagales,dicots,,,phanerophyte,london,tree,Eastern United States,North America,northern,Cultivated,High,Major,Widespread/Common,bred,,
carya ovata,,shagbark hickory,carya,juglandaceae,fagales,dicots,hickories,,phanerophyte,greenwich,tree,Eastern United States,North America,northern,Wild,Low,Limited,Widespread/Common,natural,,
cascabela thevetia,,be-still tree,cascabela,apocynaceae,gentianales,dicots,cascabela,,phanerophyte,around amman,tree,,Central America,,Cultivated,Low,None,Widespread/Common,bred,,
cassia fistula,,golden shower tree,cassia,fabaceae,fabales,dicots,,,phanerophyte,yogyakarta,tree,,Asia,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
castanea sativa,,sweet chestnut,castanea,fagaceae,fagales,dicots,,"oak, chestnut and beech",phanerophyte,online,tree,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,
casuarina equisetifolia,,beach sheoak,casuarina,casuarinaceae,fagales,dicots,,,phanerophyte,Amman garden,tree,Australia,Oceania,southern,Both,Low,Limited,Widespread/Common,natural,,
catharanthus roseus,,madagascar periwinkle,catharanthus,apocynaceae,gentianales,dicots,,dog-banes,hemicryptophyte,Expo,herb,,,,Cultivated,High,Limited,Widespread/Common,bred,,
cayratia japonica,,yabu garashi,cayratia,vitaceae,vitales,dicots,,,phanerophyte,singapore,vine,,Asia,northern,Wild,Low,None,Widespread/Common,natural,,
ceanothus thyrsiflorus,,blueblossom,ceanothus,rhamnaceae,rosales,dicots,,buckthorn,phanerophyte,london,shrub,Western United States,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,
cedrus atlantica,,atlas cedar,cedrus,pinaceae,pinales,conifers,cedars,,phanerophyte,Kew,tree,,Africa,southern,Both,Moderate,Limited,Locally common,natural,,
cedrus atlantica 'glauca',,blue atlas cedar,cedrus,pinaceae,pinales,conifers,cedars,,phanerophyte,kew,tree,,Africa,southern,Cultivated,High,Limited,Locally common,bred,,
cedrus deodara,,deodar cedar,cedrus,pinaceae,pinales,conifers,cedars,,phanerophyte,Kew,tree,,,,Both,Moderate,Limited,Widespread/Common,natural,,
cedrus libani,,cedar of lebanon,cedrus,pinaceae,pinales,conifers,cedars,,phanerophyte,kew,tree,,Mediterranean,northern,Both,Moderate,Limited,Uncommon,natural,,
ceiba pentandra,,kapok tree,ceiba,malvaceae,malvales,dicots,,,phanerophyte,singapore,tree,,,both,Both,Low,Limited,Widespread/Common,natural,,
ceiba speciosa,,silk floss tree,ceiba,malvaceae,malvales,dicots,,,phanerophyte,,tree,,South America,southern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
celastrus scandens,,american bittersweet,celastrus,celastraceae,celastrales,dicots,,,phanerophyte,,vine,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,
celosia argentea,,plumed cockscomb,celosia,amaranthaceae,caryophyllales,dicots,cockscomb,,hemicryptophyte,singapore,herb,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,
cenchrus ciliaris,,buffelgrass,cenchrus,poaceae,poales,monocots,,grasses,hemicryptophyte,Expo,herb,,Africa,southern,Both,Low,None,Widespread/Common,natural,,
centaurea calcitrapa,,purple star-thistle,centaurea,asteraceae,asterales,dicots,,daisy and sunflower,hemicryptophyte,around amman,herb,,Mediterranean,northern,Wild,Low,None,Widespread/Common,natural,,
centaurea jacea,,brown knapweed,centaurea,asteraceae,asterales,dicots,,,hemicryptophyte,kintbury,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
centaurea nigra,,common knapweed,centaurea,asteraceae,asterales,dicots,,,hemicryptophyte,london,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
centranthus ruber,,red valerian,centranthus,caprifoliaceae,dipsacales,dicots,,,hemicryptophyte,knighton,herb,,Mediterranean,northern,Both,Moderate,Limited,Widespread/Common,natural,,
ceratonia siliqua,,carob tree,ceratonia,fabaceae,fabales,dicots,,,phanerophyte,,tree,,Mediterranean,northern,Both,Low,Limited,Widespread/Common,natural,,
cestrum nocturnum,,night jessamine,cestrum,solanaceae,solanales,dicots,,,phanerophyte,,shrub,,Central America,,Cultivated,Moderate,Limited,Widespread/Common,bred,,
chamaecyparis lawsoniana,,lawson cypress,chamaecyparis,cupressaceae,cupressales,conifers,false cypresses,,phanerophyte,kintbury,tree,Western United States,North America,northern,Both,High,Limited,Widespread/Common,bred,,
chamaenerion angustifolium,,great willowherb,chamaenerion,onagraceae,myrtales,dicots,fireweeds,,hemicryptophyte,charlevoix,herb,,,northern,Wild,Low,None,Widespread/Common,natural,,
chenopodium quinoa,,quinoa,chenopodium,amaranthaceae,caryophyllales,dicots,,amaranth,hemicryptophyte,Expo,herb,,South America,southern,Cultivated,High,Major,Widespread/Common,bred,,
choisya ternata,,mexican orange blossom,choisya,rutaceae,sapindales,dicots,,,phanerophyte,kintbury,shrub,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
chromolaena odorata,,triffid,chromolaena,asteraceae,asterales,dicots,,,hemicryptophyte,luang prabang,herb,,Central America,,Wild,Low,None,Widespread/Common,natural,,
cichorium intybus,,chicory,cichorium,asteraceae,asterales,dicots,chicories and endives,,hemicryptophyte,charlevoix,herb,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,
cinchona ledgeriana,,quinine,cinchona,rubiaceae,gentianales,dicots,quinines,coffees,phanerophyte,Fifty plants,tree,,South America,southern,Cultivated,Moderate,Major,Locally common,bred,,
cirsium arvense,,creeping thistle,cirsium,asteraceae,asterales,dicots,,,hemicryptophyte,kintbury,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
cirsium vulgare,,common thistle,cirsium,asteraceae,asterales,dicots,,,hemicryptophyte,dorset,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
cissus verticillata,,possum grape,cissus,vitaceae,vitales,dicots,cissus,,phanerophyte,around amman,vine,,Central America,,Wild,Low,None,Widespread/Common,natural,,
cistanche phelypaea,,broomrape,cistanche,orobanchaceae,lamiales,dicots,,,hemicryptophyte,shaumari reserve,herb,,Mediterranean,northern,Wild,Low,None,Uncommon,natural,,
citrullus lanatus,,watermelon,citrullus,cucurbitaceae,cucurbitales,dicots,,,hemicryptophyte,,herb,,Africa,southern,Cultivated,High,Major,Widespread/Common,bred,,
citrus aurantium,,seville orange,citrus,rutaceae,sapindales,dicots,citruses,citrus,phanerophyte,Amman garden,tree,,Asia,northern,Cultivated,High,Major,Widespread/Common,bred,,
citrus limon,,lemon,citrus,rutaceae,sapindales,dicots,citruses,citrus,phanerophyte,Amman garden,tree,,Asia,northern,Cultivated,High,Major,Widespread/Common,bred,,
clematis tangutica,,golden clematis,clematis,ranunculaceae,ranunculales,dicots,,,phanerophyte,knighton,vine,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
clerodendrum paniculatum,,pagoda flower,clerodendrum,lamiaceae,lamiales,dicots,,,phanerophyte,singapore,shrub,,Asia,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
clerodendrum quadriloculare,,starburst bush,clerodendrum,lamiaceae,lamiales,dicots,,,phanerophyte,jakarta,shrub,,Asia,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
clerodendrum thomsoniae,,bleeding glory-bower,clerodendrum,lamiaceae,lamiales,dicots,,,phanerophyte,jakarta,vine,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,
clerodendrum trichotomum,,harlequin glorybower,clerodendrum,lamiaceae,lamiales,dicots,,mints,phanerophyte,yarmouk river,shrub,,Asia,northern,Both,Moderate,Limited,Widespread/Common,natural,,
clethra alnifolia,,sweet pepperbush,clethra,clethraceae,ericales,dicots,clethras,,phanerophyte,greenwich,shrub,Eastern United States,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,
clidemia hirta,,soapbush,clidemia,melastomataceae,myrtales,dicots,,,phanerophyte,singapore,shrub,,Central America,,Wild,Low,None,Widespread/Common,natural,,
clinopodium nepeta,,calamint,clinopodium,lamiaceae,lamiales,dicots,,mints,hemicryptophyte,Kempinski,herb,,Mediterranean,northern,Both,Moderate,Limited,Widespread/Common,natural,,
clivia miniata,,natal lily,clivia,amaryllidaceae,asparagales,monocots,natal lilies,,hemicryptophyte,perth,herb,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,
coccoloba uvifera,,sea grape,coccoloba,polygonaceae,caryophyllales,dicots,,,phanerophyte,Expo,tree,,,,Cultivated,Moderate,Limited,Widespread/Common,bred,,
cochlospermum vitifolium,,buttercup tree,cochlospermum,bixacea,malvales,dicots,,,phanerophyte,yogyakarta,tree,,Central America,,Cultivated,Low,None,Widespread/Common,bred,,
cocos nucifera,,coconut,cocos,arecaceae,arecales,monocots,,palms,phanerophyte,Expo,tree,,,both,Cultivated,Moderate,Major,Widespread/Common,bred,,
coffea arabica,,coffee,coffea,rubiaceae,gentianales,dicots,coffees,coffees,phanerophyte,Fifty plants,shrub,,Africa,southern,Cultivated,High,Major,Widespread/Common,bred,,
coix lacryma-jobi,,job's tears,coix,poaceae,poales,monocots,,,hemicryptophyte,singapore,herb,,Asia,northern,Both,Low,Limited,Widespread/Common,natural,,
colocasia esculenta,,taro,colocasia,araceae,alismatales,monocots,,,hemicryptophyte,luang prabang,herb,,Asia,northern,Cultivated,Moderate,Major,Widespread/Common,bred,,
combretum indicum,,burma creeper,combretum,combretaceae,myrtales,dicots,,,phanerophyte,jakarta,vine,,Asia,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
conocarpus erectus,,button mangrove,conocarpus,combretaceae,myrtales,dicots,,,phanerophyte,singapore,tree,,,both,Wild,Low,None,Widespread/Common,natural,,
convulvulus arvensis,,field bindweed,convulvulus,convulvulaceae,solanales,dicots,,,hemicryptophyte,kintbury,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
coprosma dumosa,,coprosma,coprosma,rubiaceae,gentianales,dicots,,coffees,phanerophyte,Scandinavian forest,shrub,,,southern,Wild,Low,None,Widespread/Common,natural,,
coprosma repens,,taupata,coprosma,rubiaceae,gentianales,dicots,,,phanerophyte,sydney,shrub,,,southern,Both,Moderate,Limited,Widespread/Common,natural,,
cordyline australis,,cabbage tree,cordyline,asparagaceae,asparagales,monocots,,,phanerophyte,singapore,tree,,,southern,Both,Moderate,Limited,Widespread/Common,natural,,
cordyline fruticosa,,ti,cordyline,asparagaceae,asparagales,monocots,cabbage trees,,phanerophyte,jakarta,shrub,,Asia,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
coriandrum sativum,,coriander,coriandrum,apiaceae,apiales,dicots,coriander,carrots,hemicryptophyte,Fifty plants,herb,,Mediterranean,northern,Cultivated,Moderate,Major,Widespread/Common,bred,,
