SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE-FORM TYPE,SEEN AT,GROWTH FORM,SPECIFIC LOCATION,GENERAL LOCATION,HEMISPHERE,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS,SOURCE,NOTES,IMAGE
cirsium arvense,field thistle,canada thistle,cirsium,asteraceae,asterales,dicots,thistles,aster family,geophyte,,herb,Europe,Europe,Northern,Wild,Low,None,Widespread/Common,natural,Invasive perennial thistle; spreads by deep rhizomes; purple flowers; difficult to control,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Cirsium_arvense_flowers.jpg/1024px-Cirsium_arvense_flowers.jpg
cirsium vulgare,common thistle,bull thistle,cirsium,asteraceae,asterales,dicots,thistles,aster family,hemicryptophyte,,herb,Europe,Europe,Northern,Wild,Low,None,Widespread/Common,natural,Large purple flowers; very spiny; biennial; important for butterflies and birds; can be weedy,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Cirsium_vulgare_flowers.jpg/1024px-Cirsium_vulgare_flowers.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
cissus verticillata,whorled cissus,princess vine,cissus,vitaceae,vitales,dicots,treebines,grape family,phanerophyte,,vine,Caribbean,Caribbean,Northern,Both,Moderate,Limited,Widespread/Common,natural,Medicinal climbing vine; succulent stems; traditional uses for wounds and inflammation,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Cissus_verticillata_001.jpg/1024px-Cissus_verticillata_001.jpg
cistanche phelypaea,scaly cistanche,desert hyacinth,cistanche,orobanchaceae,lamiales,dicots,desert hyacinths,broomrape family,geophyte,,herb,Mediterranean,Mediterranean,Northern,Wild,Low,Limited,Uncommon,natural,Parasitic plant on shrub roots; yellow flower spikes; traditional medicine; aphrodisiac reputation,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Cistanche_phelypaea_001.jpg/1024px-Cistanche_phelypaea_001.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
citrullus lanatus,woolly watermelon,watermelon,citrullus,cucurbitaceae,cucurbitales,dicots,watermelons,gourd family,therophyte,,vine,Southern Africa,Africa,Southern,Cultivated,High,Major,Widespread/Common,natural,Large juicy fruit; 92% water; ancient cultivation; important summer crop; many varieties,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Taiwan_2009_Tainan_City_Organic_Farm_Watermelon_FRD_7962.jpg/1024px-Taiwan_2009_Tainan_City_Organic_Farm_Watermelon_FRD_7962.jpg
citrus aurantium,bitter orange,sour orange,citrus,rutaceae,sapindales,dicots,citrus,citrus family,phanerophyte,,tree,Southeast Asia,Asia,Northern,Both,High,Major,Widespread/Common,natural,Sour fruit used in marmalade; essential oils from peel; rootstock for sweet oranges; medicinal uses,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Citrus_aurantium_001.jpg/1024px-Citrus_aurantium_001.jpg
citrus limon,lemon citrus,lemon,citrus,rutaceae,sapindales,dicots,citrus,citrus family,phanerophyte,,tree,Southeast Asia,Asia,Northern,Both,High,Major,Widespread/Common,bred,Acidic yellow fruit; high vitamin C; essential culinary ingredient; aromatic oil in peel,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Lemon.jpg/1024px-Lemon.jpg
clematis tangutica,tangut clematis,golden clematis,clematis,ranunculaceae,ranunculales,dicots,clematis,buttercup family,phanerophyte,,vine,Mongolia and Tibet,Asia,Northern,Both,High,Major,Locally common,natural,Yellow bell-shaped flowers; feathery seed heads; hardy climbing vine; late summer bloomer,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Clematis_tangutica_flowers.jpg/1024px-Clematis_tangutica_flowers.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
clerodendrum paniculatum,panicled clerodendrum,pagoda flower,clerodendrum,lamiaceae,lamiales,dicots,glorybowers,mint family,chamaephyte,,shrub,Southeast Asia,Southeast Asia,Northern,Both,High,Major,Widespread/Common,natural,Orange-red flower pyramid; large heart-shaped leaves; attracts butterflies; fast-growing,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Clerodendrum_paniculatum_flowers.jpg/1024px-Clerodendrum_paniculatum_flowers.jpg
clerodendrum quadriloculare,four-chambered clerodendrum,bronze-leaved clerodendrum,clerodendrum,lamiaceae,lamiales,dicots,glorybowers,mint family,chamaephyte,,shrub,Philippines,Southeast Asia,Northern,Both,High,Major,Locally common,natural,White flowers; purple-bronze leaves; edible young shoots; traditional medicine,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Clerodendrum_quadriloculare_001.jpg/1024px-Clerodendrum_quadriloculare_001.jpg
clerodendrum thomsoniae,Thomson's clerodendrum,bleeding heart vine,clerodendrum,lamiaceae,lamiales,dicots,glorybowers,mint family,phanerophyte,,vine,West Africa,Africa,Northern,Both,High,Major,Widespread/Common,natural,White and red flowers; heart-shaped; popular houseplant; climbing habit,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Clerodendrum_thomsoniae_flowers.jpg/1024px-Clerodendrum_thomsoniae_flowers.jpg
clerodendrum trichotomum,three-forked clerodendrum,harlequin glorybower,clerodendrum,lamiaceae,lamiales,dicots,glorybowers,mint family,chamaephyte,,shrub,East Asia,Asia,Northern,Both,High,Major,Locally common,natural,Fragrant white flowers; bright blue berries with red calyces; fall interest,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Clerodendrum_trichotomum_flowers.jpg/1024px-Clerodendrum_trichotomum_flowers.jpg
clethra alnifolia,alder-leaved clethra,sweet pepperbush,clethra,clethraceae,ericales,dicots,clethras,clethra family,chamaephyte,,shrub,Eastern North America,North America,Northern,Both,High,Major,Widespread/Common,natural,Fragrant white flower spikes; attracts bees and butterflies; tolerates wet soils; fall color,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Clethra_alnifolia_flowers.jpg/1024px-Clethra_alnifolia_flowers.jpg
clidemia hirta,hairy clidemia,koster's curse,clidemia,melastomataceae,myrtales,dicots,clidemias,melastome family,chamaephyte,,shrub,Tropical Americas,Americas,Southern,Wild,Low,None,Widespread/Common,natural,Small white flowers; extremely invasive weed in Pacific; purple berries; difficult to control,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Clidemia_hirta_flowers.jpg/1024px-Clidemia_hirta_flowers.jpg
clinopodium nepeta,lesser calamint,lesser calamint,clinopodium,lamiaceae,lamiales,dicots,wild basils,mint family,hemicryptophyte,,herb,Europe,Europe,Northern,Both,Moderate,Limited,Widespread/Common,natural,Aromatic herb; small white flowers; culinary uses; bee plant; drought-tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Clinopodium_nepeta_flowers.jpg/1024px-Clinopodium_nepeta_flowers.jpg
clivia miniata,vermillion clivia,natal lily,clivia,amaryllidaceae,asparagales,monocots,clivias,amaryllis family,geophyte,,herb,South Africa,Africa,Southern,Both,High,Major,Locally common,natural,Orange trumpet flowers; evergreen strap leaves; popular houseplant; shade tolerant; poisonous,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Clivia_miniata_flowers.jpg/1024px-Clivia_miniata_flowers.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
coccoloba uvifera,grape-bearing coccoloba,sea grape,coccoloba,polygonaceae,caryophyllales,dicots,sea grapes,buckwheat family,phanerophyte,,tree,Caribbean,Caribbean,Northern,Both,Moderate,Limited,Widespread/Common,natural,Large round leaves; grape-like fruits; coastal tolerance; important beach stabilizer,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Coccoloba_uvifera_leaves.jpg/1024px-Coccoloba_uvifera_leaves.jpg
cochlospermum vitifolium,vine-leaved cochlospermum,buttercup tree,cochlospermum,bixaceae,malvales,dicots,maximilianeas,annatto family,phanerophyte,,tree,Central America,Central America,Northern,Both,Moderate,Limited,Locally common,natural,Bright yellow flowers appear before leaves; kapok-like seeds; deciduous; dry forest species,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Cochlospermum_vitifolium_flowers.jpg/1024px-Cochlospermum_vitifolium_flowers.jpg
cocos nucifera,nut-bearing coconut,coconut palm,cocos,arecaceae,arecales,monocots,coconuts,palm family,phanerophyte,,tree,Central Indo-Pacific,Indo-Pacific,Southern,Both,High,Major,Widespread/Common,natural,Most useful palm; food water oil fiber; spread by Austronesian peoples; tree of life; salt-tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Coconut_Palm.jpg/1024px-Coconut_Palm.jpg
coffea arabica,arabian coffee,arabica coffee,coffea,rubiaceae,gentianales,dicots,coffees,coffee family,chamaephyte,,shrub,Ethiopian Highlands,Africa,Northern,Both,High,Major,Widespread/Common,natural,Source of 60% of world's coffee; fragrant white flowers; requires shade; mountain species; high quality,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Coffee_flowers.jpg/1024px-Coffee_flowers.jpg
coix lacryma-jobi,Job's tears coix,Job's tears,coix,poaceae,poales,monocots,job's tears,grass family,therophyte,,herb,Southeast Asia,Asia,Northern,Both,Moderate,Limited,Widespread/Common,natural,Hard seed beads used for jewelry; edible grain; ornamental grass; traditional medicine,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Coix_lacryma-jobi_seeds.jpg/1024px-Coix_lacryma-jobi_seeds.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
,,,,,,,,,,,unknown,,,,,,,,,,,
colocasia esculenta,edible colocasia,taro,colocasia,araceae,alismatales,monocots,elephant ears,aroid family,geophyte,,herb,Southeast Asia,Asia,Northern,Both,High,Major,Widespread/Common,bred,Major starch crop; large edible leaves and corms; ancient cultivation; requires wet conditions,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Colocasia_esculenta_001.jpg/1024px-Colocasia_esculenta_001.jpg
combretum indicum,indian combretum,rangoon creeper,combretum,combretaceae,myrtales,dicots,leadwoods,combretum family,phanerophyte,,vine,Southeast Asia,Southeast Asia,Northern,Both,High,Major,Widespread/Common,natural,Fragrant flowers change from white to pink to red; fast-growing climber; attracts butterflies,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Combretum_indicum_flowers.jpg/1024px-Combretum_indicum_flowers.jpg
conocarpus erectus,erect buttonwood,buttonwood,conocarpus,combretaceae,myrtales,dicots,buttonwoods,combretum family,phanerophyte,,tree,Caribbean and Florida,Caribbean,Northern,Wild,Moderate,Limited,Locally common,natural,Salt-tolerant coastal tree; conical seed heads; important mangrove associate; silver variety exists,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Conocarpus_erectus_001.jpg/1024px-Conocarpus_erectus_001.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
convolvulus arvensis,field bindweed,field bindweed,convolvulus,convolvulaceae,solanales,dicots,bindweeds,morning glory family,geophyte,,vine,Europe,Europe,Northern,Wild,Low,None,Widespread/Common,natural,Persistent weedy vine; white or pink trumpet flowers; deep rhizomes; extremely difficult to control,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Convolvulus_arvensis_flowers.jpg/1024px-Convolvulus_arvensis_flowers.jpg
coprosma dumosa,bushy coprosma,shrubby coprosma,coprosma,rubiaceae,gentianales,dicots,mirror plants,coffee family,chamaephyte,,shrub,New Zealand,New Zealand,Southern,Wild,Low,None,Locally common,natural,Small linear leaves; tiny inconspicuous flowers; dioecious; alpine and coastal habitats,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Coprosma_dumosa_001.jpg/1024px-Coprosma_dumosa_001.jpg
coprosma repens,creeping coprosma,mirror plant,coprosma,rubiaceae,gentianales,dicots,mirror plants,coffee family,chamaephyte,,shrub,New Zealand,New Zealand,Southern,Both,High,Major,Locally common,natural,Glossy oval leaves; orange berries on female plants; salt-tolerant; popular landscaping shrub,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Coprosma_repens_berries.jpg/1024px-Coprosma_repens_berries.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
cordyline australis,southern cordyline,cabbage tree,cordyline,asparagaceae,asparagales,monocots,ti plants,asparagus family,phanerophyte,,tree,New Zealand,New Zealand,Southern,Both,High,Major,Locally common,natural,Palm-like tree; sword-shaped leaves; fragrant white flower clusters; culturally important to Māori,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Cordyline_australis_001.jpg/1024px-Cordyline_australis_001.jpg
cordyline fruticosa,shrubby cordyline,ti plant,cordyline,asparagaceae,asparagales,monocots,ti plants,asparagus family,chamaephyte,,shrub,Southeast Asia,Southeast Asia,Northern,Both,High,Major,Widespread/Common,natural,Colorful leaves; sacred to Polynesian cultures; traditional uses for food wrapping and medicine,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Cordyline_fruticosa_001.jpg/1024px-Cordyline_fruticosa_001.jpg
coriandrum sativum,cultivated coriander,coriander,coriandrum,apiaceae,apiales,dicots,corianders,carrot family,therophyte,,herb,Mediterranean,Mediterranean,Northern,Cultivated,High,Major,Widespread/Common,bred,Cilantro leaves and coriander seeds; essential culinary herb; ancient cultivation; dual-purpose crop,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Coriander_leaves.jpg/1024px-Coriander_leaves.jpg
cornus alternifolia,alternate-leaved dogwood,pagoda dogwood,cornus,cornaceae,cornales,dicots,dogwoods,dogwood family,phanerophyte,,tree,Eastern North America,North America,Northern,Both,Moderate,Limited,Widespread/Common,natural,Horizontal branching; white flower clusters; blue berries; distinctive layered form,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Cornus_alternifolia_flowers.jpg/1024px-Cornus_alternifolia_flowers.jpg
cornus amomum,spice dogwood,silky dogwood,cornus,cornaceae,cornales,dicots,dogwoods,dogwood family,chamaephyte,,shrub,Eastern North America,North America,Northern,Wild,Moderate,Limited,Widespread/Common,natural,White flowers; blue berries; red winter stems; tolerates wet soils; important wildlife plant,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Cornus_amomum_flowers.jpg/1024px-Cornus_amomum_flowers.jpg
cornus canadensis,canadian dogwood,bunchberry,cornus,cornaceae,cornales,dicots,dogwoods,dogwood family,hemicryptophyte,,herb,Northern North America,North America,Northern,Wild,Moderate,Limited,Widespread/Common,natural,Low growing; four-petaled white flowers; bright red berries; forest groundcover; edible fruit,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Cornus_canadensis_flowers.jpg/1024px-Cornus_canadensis_flowers.jpg
cornus sanguinea,blood dogwood,bloodtwig dogwood,cornus,cornaceae,cornales,dicots,dogwoods,dogwood family,chamaephyte,,shrub,Europe,Europe,Northern,Both,Moderate,Limited,Widespread/Common,natural,Red winter stems; white flowers; dark berries; good fall color; tolerates various conditions,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Cornus_sanguinea_001.jpg/1024px-Cornus_sanguinea_001.jpg
cornus sericea,silky dogwood,red osier dogwood,cornus,cornaceae,cornales,dicots,dogwoods,dogwood family,chamaephyte,,shrub,North America,North America,Northern,Both,Moderate,Limited,Widespread/Common,natural,Bright red winter stems; white flowers; wetland tolerance; important for erosion control,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Cornus_sericea_001.jpg/1024px-Cornus_sericea_001.jpg
corokia cotoneaster,cotoneaster-like corokia,wire netting bush,corokia,argophyllaceae,asterales,dicots,corokias,corokia family,chamaephyte,,shrub,New Zealand,New Zealand,Southern,Both,High,Major,Locally common,natural,Zigzag branches; tiny yellow flowers; orange or red berries; distinctive architectural form,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Corokia_cotoneaster_001.jpg/1024px-Corokia_cotoneaster_001.jpg
correa alba,white correa,white australian fuchsia,correa,rutaceae,sapindales,dicots,australian fuchsias,citrus family,chamaephyte,,shrub,Southern Australia,Australia,Southern,Both,High,Major,Locally common,natural,White bell-shaped flowers; salt and drought tolerant; attracts nectar-feeding birds,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Correa_alba_flowers.jpg/1024px-Correa_alba_flowers.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
,,,,,,,,,,,unknown,,,,,,,,,,,
corylus americana,american hazel,american hazelnut,corylus,betulaceae,fagales,dicots,hazels,birch family,chamaephyte,,shrub,Eastern North America,North America,Northern,Wild,Moderate,Limited,Widespread/Common,natural,Edible nuts; early spring catkins; important wildlife food; native alternative to European hazel,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Corylus_americana_001.jpg/1024px-Corylus_americana_001.jpg
corylus avellana,hazelnut bearing,common hazel,corylus,betulaceae,fagales,dicots,hazels,birch family,chamaephyte,scotland,shrub,Europe,Europe,Northern,Both,High,Major,Widespread/Common,natural,Important nut crop; early spring catkins; traditional coppice species; wind-pollinated,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Corylus_avellana_001.jpg/1024px-Corylus_avellana_001.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
corymbia ficifolia,fig-leaved corymbia,red flowering gum,corymbia,myrtaceae,myrtales,dicots,bloodwoods,myrtle family,phanerophyte,,tree,Western Australia,Australia,Southern,Both,High,Major,Locally common,natural,Spectacular red orange or pink flowers; large seed pods; popular street tree; drought-tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Corymbia_ficifolia_flowers.jpg/1024px-Corymbia_ficifolia_flowers.jpg
cosmos sulphureus,sulphur cosmos,yellow cosmos,cosmos,asteraceae,asterales,dicots,cosmos,aster family,therophyte,,herb,Central America,Central America,Northern,Both,High,Major,Widespread/Common,natural,Bright orange or yellow daisy flowers; feathery foliage; heat-tolerant annual; attracts butterflies,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Cosmos_sulphureus_flowers.jpg/1024px-Cosmos_sulphureus_flowers.jpg
costus woodsonii,Woodson's costus,red tower ginger,costus,costaceae,zingiberales,monocots,spiral gingers,costus family,geophyte,,herb,Central America,Central America,Northern,Both,High,Major,Locally common,natural,Spiral arrangement of leaves; red bracts with yellow flowers; tropical understory plant,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Costus_woodsonii_001.jpg/1024px-Costus_woodsonii_001.jpg
cotinus coggygria,smoke tree cotinus,smoke tree,cotinus,anacardiaceae,sapindales,dicots,smoke trees,cashew family,chamaephyte,,shrub,Southern Europe,Europe,Northern,Both,High,Major,Widespread/Common,natural,Feathery pink smoke-like flower plumes; rounded leaves; excellent fall color; drought-tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Cotinus_coggygria_flowers.jpg/1024px-Cotinus_coggygria_flowers.jpg
cotoneaster horizontalis,horizontal cotoneaster,rock cotoneaster,cotoneaster,rosaceae,rosales,dicots,cotoneasters,rose family,chamaephyte,,shrub,Western China,Asia,Northern,Both,High,Major,Widespread/Common,natural,Low spreading habit; small white flowers; red berries; herringbone branching pattern,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Cotoneaster_horizontalis_berries.jpg/1024px-Cotoneaster_horizontalis_berries.jpg
couroupita guianensis,guianese cannonball,cannonball tree,couroupita,lecythidaceae,ericales,dicots,cannonball trees,brazil nut family,phanerophyte,,tree,South America,South America,Southern,Both,Moderate,Limited,Locally common,natural,Large spherical fruits; fragrant orange flowers grow directly from trunk; spectacular ornamental,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Couroupita_guianensis_flowers.jpg/1024px-Couroupita_guianensis_flowers.jpg
crambe maritima,sea kale,sea kale,crambe,brassicaceae,brassicales,dicots,sea kales,mustard family,hemicryptophyte,,herb,Atlantic Europe,Europe,Northern,Both,Moderate,Limited,Uncommon,natural,Edible shoots and leaves; white flowers; glaucous blue-green foliage; coastal dunes; gourmet vegetable,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Crambe_maritima_001.jpg/1024px-Crambe_maritima_001.jpg
crassula ovata,egg-shaped crassula,jade plant,crassula,crassulaceae,saxifragales,dicots,jade plants,stonecrop family,chamaephyte,,shrub,South Africa,Africa,Southern,Both,High,Major,Locally common,natural,Thick oval succulent leaves; small white or pink flowers; popular houseplant; symbol of prosperity,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Crassula_ovata_001.jpg/1024px-Crassula_ovata_001.jpg
crassula perforata,perforated crassula,string of buttons,crassula,crassulaceae,saxifragales,dicots,jade plants,stonecrop family,chamaephyte,,herb,South Africa,Africa,Southern,Both,High,Major,Locally common,natural,Triangular leaves stacked around stems; cream flowers; drought-tolerant succulent,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Crassula_perforata_001.jpg/1024px-Crassula_perforata_001.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
crataegus monogyna,one-styled hawthorn,common hawthorn,crataegus,rosaceae,rosales,dicots,hawthorns,rose family,phanerophyte,,tree,Europe,Europe,Northern,Both,Moderate,Limited,Widespread/Common,natural,White flowers; red berries; thorny branches; important hedgerow plant; medicinal uses,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Crataegus_monogyna_flowers.jpg/1024px-Crataegus_monogyna_flowers.jpg
crocosmia x crocosmiflora,crocosmia-flowered crocosmia,montbretia,crocosmia,iridaceae,asparagales,monocots,crocosmias,iris family,geophyte,,herb,Garden hybrid,Global,Both,Cultivated,High,Major,Widespread/Common,bred,Orange or red sword-like flowers; strap leaves; spreads by corms; can be invasive,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Crocosmia_crocosmiiflora_flowers.jpg/1024px-Crocosmia_crocosmiiflora_flowers.jpg
crocus sativus,cultivated crocus,saffron crocus,crocus,iridaceae,asparagales,monocots,crocuses,iris family,geophyte,,herb,Greece,Mediterranean,Northern,Cultivated,High,Major,Rare,bred,Source of saffron spice; purple flowers with red stigmas; most expensive spice; autumn blooming,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Crocus_sativus_flowers.jpg/1024px-Crocus_sativus_flowers.jpg
cucumis melo,melon cucumber,cantaloupe,cucumis,cucurbitaceae,cucurbitales,dicots,cucumbers,gourd family,therophyte,,vine,Africa,Africa,Northern,Cultivated,High,Major,Widespread/Common,bred,Sweet orange flesh fruit; netted skin; important summer crop; many varieties and colors,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Cucumis_melo_001.jpg/1024px-Cucumis_melo_001.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
,,,,,,,,,,,unknown,,,,,,,,,,,
cuminum cyminum,cumin-scented cumin,cumin,cuminum,apiaceae,apiales,dicots,cumins,carrot family,therophyte,,herb,Eastern Mediterranean,Mediterranean,Northern,Cultivated,High,Major,Widespread/Common,bred,Essential spice; aromatic seeds; important in Middle Eastern and Indian cuisine; ancient cultivation,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Cuminum_cyminum_001.jpg/1024px-Cuminum_cyminum_001.jpg
cunninghamia lanceolata,lance-leaved cunninghamia,china fir,cunninghamia,cupressaceae,pinales,conifers,china firs,cypress family,phanerophyte,,tree,China,East Asia,Northern,Both,Moderate,Major,Widespread/Common,natural,Important Chinese timber tree; sharp needle-like leaves; fast-growing; widely planted,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Cunninghamia_lanceolata_001.jpg/1024px-Cunninghamia_lanceolata_001.jpg
cupressus cashmeriana,kashmir cypress,bhutan cypress,cupressus,cupressaceae,pinales,conifers,cypresses,cypress family,phanerophyte,,tree,Bhutan,Asia,Northern,Both,Moderate,Limited,Rare,natural,Drooping blue-green foliage; pendulous branches; rare in wild; highly ornamental; endangered,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Cupressus_cashmeriana_001.jpg/1024px-Cupressus_cashmeriana_001.jpg
cupressus nootkatensis,nootka cypress,alaska cedar,cupressus,cupressaceae,pinales,conifers,cypresses,cypress family,phanerophyte,,tree,Northwestern North America,North America,Northern,Both,Moderate,Major,Locally common,natural,Extremely slow-growing; very durable timber; cold-hardy; pendulous branchlets,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Chamaecyparis_nootkatensis_001.jpg/1024px-Chamaecyparis_nootkatensis_001.jpg
cupressus sempervirens,always-green cypress,italian cypress,cupressus,cupressaceae,pinales,conifers,cypresses,cypress family,phanerophyte,,tree,Eastern Mediterranean,Mediterranean,Northern,Both,High,Major,Widespread/Common,natural,Narrow columnar form; dark green foliage; symbol of Mediterranean; cemetery tree; drought-tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Cupressus_sempervirens_001.jpg/1024px-Cupressus_sempervirens_001.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
cycas revoluta,rolled-back cycad,sago palm,cycas,cycadaceae,cycadales,gymnosperms,sago palms,cycad family,phanerophyte,,shrub,Southern Japan,East Asia,Northern,Both,High,Major,Rare,natural,Ancient plant group; not a true palm; toxic seeds; extremely slow-growing; living fossil,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Cycas_revoluta_001.jpg/1024px-Cycas_revoluta_001.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
cydonia oblonga,oblong quince,quince,cydonia,rosaceae,rosales,dicots,quinces,rose family,phanerophyte,,tree,Southwestern Asia,Asia,Northern,Both,Moderate,Limited,Widespread/Common,natural,Ancient fruit crop; fragrant yellow fruits; used for preserves and jellies,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Cydonia_oblonga_fruit.jpg/1024px-Cydonia_oblonga_fruit.jpg
cylindropuntia leptocaulis,thin-stemmed cylindrical prickly pear,desert christmas cactus,cylindropuntia,cactaceae,caryophyllales,dicots,cholla,cactus family,chamaephyte,,shrub,Southwestern United States,North America,Northern,Wild,Low,None,Widespread/Common,natural,Small cholla cactus; tiny red fruits resembling Christmas ornaments,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Cylindropuntia_leptocaulis_fruits.jpg/1024px-Cylindropuntia_leptocaulis_fruits.jpg
cymbalaria muralis,wall cymbalaria,ivy-leaved toadflax,cymbalaria,plantaginaceae,lamiales,dicots,cymbalarias,plantain family,hemicryptophyte,,herb,Mediterranean,Mediterranean,Northern,Both,Low,None,Widespread/Common,natural,Small trailing plant; purple snapdragon-like flowers; grows on walls,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Cymbalaria_muralis_flowers.jpg/1024px-Cymbalaria_muralis_flowers.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
cynosurus echinatus,spiny dog's tail,rough dog's-tail,cynosurus,poaceae,poales,monocots,dog's tail grasses,grass family,therophyte,,herb,Mediterranean,Mediterranean,Northern,Wild,Low,None,Widespread/Common,natural,Annual grass; distinctive spiny seed heads; Mediterranean native,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Cynosurus_echinatus_seedhead.jpg/1024px-Cynosurus_echinatus_seedhead.jpg
cyperus papyrus,papyrus sedge,papyrus,cyperus,cyperaceae,poales,monocots,sedges,sedge family,helophyte,,herb,East Africa,Africa,Northern,Both,Moderate,Limited,Locally common,natural,Ancient paper source; tall aquatic sedge; historically significant in Egypt,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Cyperus_papyrus_plant.jpg/1024px-Cyperus_papyrus_plant.jpg
cytisus scoparius,broom-like cytisus,scotch broom,cytisus,fabaceae,fabales,dicots,brooms,legume family,chamaephyte,,shrub,Western Europe,Europe,Northern,Both,Low,None,Widespread/Common,natural,Yellow pea flowers; invasive in many regions; nitrogen-fixing,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Cytisus_scoparius_flowers.jpg/1024px-Cytisus_scoparius_flowers.jpg
