SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE-FORM TYPE,SEEN AT,GROWTH FORM,GEOGRAPHIC ORIGIN,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS
,,,camassia,asparagaceae,asparagales,monocots,camas lilies,,,NA,herb,Western North America,Wild,Moderate,Limited,Widespread/Common
camellia japonica,,japanese camellia,camellia,theaceae,ericales,dicots,tea,,,Kew,shrub,Asia,Cultivated,High,Limited,Widespread/Common
camellia sinensis,,tea,camellia,theaceae,ericales,dicots,tea,tea,,Fifty plants,shrub,Asia,Cultivated,High,Major,Widespread/Common
,,,campanulla,campanulaceae,asterales,dicots,harebells,,,NA,herb,Northern Hemisphere,Both,High,Limited,Widespread/Common
campsis radicans,,american trumpet vine,campsis,bignoniaceae,lamiales,dicots,trumpet vines,,,around amman,vine,Eastern North America,Both,Moderate,Limited,Widespread/Common
canna indica,,indian shot,canna,cannaceae,zingiberales,monocots,,,,NA,herb,Central America,Cultivated,High,Limited,Widespread/Common
canna x generalis,,indian shot,canna,cannaceae,zingiberales,monocots,canna lillies,,,around amman,herb,Central America,Cultivated,High,Limited,Widespread/Common
cannabis sativa,,cannabis,cannabis,cannabaceae,rosales,dicots,cannabis,,,Fifty plants,herb,Central Asia,Cultivated,High,Major,Widespread/Common
capparis spinosa,,caper bush,capparis,capparaceae,brassicales,dicots,caper,,,around amman,shrub,Mediterranean,Both,Low,Limited,Widespread/Common
capsicum annuum,,pepper,capsicum,solanaceae,solanales,dicots,peppers,nightshades,,Fifty plants,herb,Central America,Cultivated,High,Major,Widespread/Common
capsicum chinense,,habanero,capsicum,solanaceae,solanales,dicots,peppers,nightshades,,Fifty plants,herb,Central America,Cultivated,High,Limited,Widespread/Common
capsicum frutescens,,wild chili,capsicum,solanaceae,solanales,dicots,peppers,nightshades,,Fifty plants,herb,Central America,Both,Moderate,Limited,Widespread/Common
,,,carduus,asteraceae,asterales,dicots,plumeless thistles,,,NA,herb,Europe,Wild,Low,None,Widespread/Common
,,,carex,cyperaceae,poales,monocots,true sedges,,,NA,herb,Worldwide,Wild,Low,None,Widespread/Common
carica papaya,,papaya,carica,caricaceae,brassicales,dicots,,papaya,tree,yarmouk river,tree,Central America,Cultivated,Moderate,Major,Widespread/Common
carissa bispinosa,,num-num,carissa,apocynaceae,gentianales,dicots,,dog-banes,,Expo,shrub,Africa,Both,Low,Limited,Widespread/Common
carissa macrocarpa,,natal plum,carissa,apocynaceae,gentianales,dicots,,dog-banes,,Kempinski,shrub,Africa,Cultivated,Moderate,Limited,Widespread/Common
,,,carpinus,betulaceae,fagales,dicots,hornbeams,,,NA,tree,Northern Hemisphere,Both,Low,Limited,Widespread/Common
carum carvi,,caraway,carum,apiaceae,apiales,dicots,,carrots,,Fifty plants,herb,Europe,Cultivated,Moderate,Limited,Widespread/Common
carya illinoinensis,,pecan,carya,juglandaceae,fagales,dicots,,,tree,london,tree,Eastern North America,Cultivated,High,Major,Widespread/Common
carya ovata,,shagbark hickory,carya,juglandaceae,fagales,dicots,hickories,,tree,greenwich,tree,Eastern North America,Wild,Low,Limited,Widespread/Common
cascabela thevetia,,be-still tree,cascabela,apocynaceae,gentianales,dicots,cascabela,,,around amman,tree,Central America,Cultivated,Low,None,Widespread/Common
cassia fistula,,golden shower tree,cassia,fabaceae,fabales,dicots,,,tree,yogyakarta,tree,Asia,Cultivated,Moderate,Limited,Widespread/Common
castanea sativa,,sweet chestnut,castanea,fagaceae,fagales,dicots,,"oak, chestnut and beech",tree,online,tree,Europe,Both,Moderate,Limited,Widespread/Common
casuarina equisetifolia,,beach sheoak,casuarina,casuarinaceae,fagales,dicots,,,tree,Amman garden,tree,Australia,Both,Low,Limited,Widespread/Common
catharanthus roseus,,madagascar periwinkle,catharanthus,apocynaceae,gentianales,dicots,,dog-banes,,Expo,herb,Madagascar,Cultivated,High,Limited,Widespread/Common
cayratia japonica,,yabu garashi,cayratia,vitaceae,vitales,dicots,,,,singapore,vine,Asia,Wild,Low,None,Widespread/Common
ceanothus thyrsiflorus,,blueblossom,ceanothus,rhamnaceae,rosales,dicots,,buckthorn,,london,shrub,Western North America,Both,Moderate,Limited,Widespread/Common
cedrus atlantica,,atlas cedar,cedrus,pinaceae,pinales,conifers,cedars,,tree,Kew,tree,North Africa,Both,Moderate,Limited,Locally common
cedrus atlantica 'glauca',,blue atlas cedar,cedrus,pinaceae,pinales,conifers,cedars,,tree,kew,tree,North Africa,Cultivated,High,Limited,Locally common
cedrus deodara,,deodar cedar,cedrus,pinaceae,pinales,conifers,cedars,,tree,Kew,tree,Himalayas,Both,Moderate,Limited,Widespread/Common
cedrus libani,,cedar of lebanon,cedrus,pinaceae,pinales,conifers,cedars,,tree,kew,tree,Mediterranean,Both,Moderate,Limited,Uncommon
ceiba pentandra,,kapok tree,ceiba,malvaceae,malvales,dicots,,,,singapore,tree,Tropical Americas,Both,Low,Limited,Widespread/Common
ceiba speciosa,,silk floss tree,ceiba,malvaceae,malvales,dicots,,,tree,NA,tree,South America,Cultivated,Moderate,Limited,Widespread/Common
celastrus scandens,,american bittersweet,celastrus,celastraceae,celastrales,dicots,,,,NA,vine,Eastern North America,Wild,Low,None,Widespread/Common
celosia argentea,,plumed cockscomb,celosia,amaranthaceae,caryophyllales,dicots,cockscomb,,,singapore,herb,Africa,Cultivated,High,Limited,Widespread/Common
,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
cenchrus ciliaris,,buffelgrass,cenchrus,poaceae,poales,monocots,,grasses,,Expo,herb,Africa,Both,Low,None,Widespread/Common
centaurea calcitrapa,,purple star-thistle,centaurea,asteraceae,asterales,dicots,,daisy and sunflower,,around amman,herb,Mediterranean,Wild,Low,None,Widespread/Common
centaurea jacea,,brown knapweed,centaurea,asteraceae,asterales,dicots,,,,kintbury,herb,Europe,Wild,Low,None,Widespread/Common
centaurea nigra,,common knapweed,centaurea,asteraceae,asterales,dicots,,,,london,herb,Europe,Wild,Low,None,Widespread/Common
centranthus ruber,,red valerian,centranthus,caprifoliaceae,dipsacales,dicots,,,,knighton,herb,Mediterranean,Both,Moderate,Limited,Widespread/Common
,,,cephalotaxus,taxaceae,pinales,conifers,plum yew,,tree,NA,shrub,Asia,Both,Low,Limited,Widespread/Common
ceratonia siliqua,,carob tree,ceratonia,fabaceae,fabales,dicots,,,tree,NA,tree,Mediterranean,Both,Low,Limited,Widespread/Common
,,,cereus,cactaceae,caryophyllales,dicots,saguaros,,,NA,shrub,Americas,Both,Moderate,Limited,Widespread/Common
,,,ceropegia,apocynaceae,gentianales,dicots,lantern flower,,,NA,herb,Africa,Cultivated,High,Limited,Widespread/Common
cestrum nocturnum,,night jessamine,cestrum,solanaceae,solanales,dicots,,,,NA,shrub,Central America,Cultivated,Moderate,Limited,Widespread/Common
chamaecyparis lawsoniana,,lawson cypress,chamaecyparis,cupressaceae,cupressales,conifers,false cypresses,,tree,kintbury,tree,Western North America,Both,High,Limited,Widespread/Common
,,,chamaelirium,melanthiaceae,liliales,monocots,fairy wand,,,NA,herb,Eastern North America,Wild,Low,None,Locally common
chamaenerion angustifolium,,great willowherb,chamaenerion,onagraceae,myrtales,dicots,fireweeds,,,charlevoix,herb,Northern Hemisphere,Wild,Low,None,Widespread/Common
chenopodium quinoa,,quinoa,chenopodium,amaranthaceae,caryophyllales,dicots,,amaranth,,Expo,herb,South America,Cultivated,High,Major,Widespread/Common
,,,chlorophytum,asparagaceae,asparagales,monocots,spider plant,,,NA,herb,Africa,Cultivated,High,Limited,Widespread/Common
choisya ternata,,mexican orange blossom,choisya,rutaceae,sapindales,dicots,,,,kintbury,shrub,Central America,Cultivated,High,Limited,Widespread/Common
chromolaena odorata,,triffid,chromolaena,asteraceae,asterales,dicots,,,,luang prabang,herb,Central America,Wild,Low,None,Widespread/Common
,,,chrysanthemum,asteraceae,asterales,dicots,chrysanthemums,,,NA,herb,Asia,Cultivated,High,Major,Widespread/Common
cichorium intybus,,chicory,cichorium,asteraceae,asterales,dicots,chicories and endives,,,charlevoix,herb,Europe,Both,Moderate,Limited,Widespread/Common
cinchona ledgeriana,,quinine,cinchona,rubiaceae,gentianales,dicots,quinines,coffees,tree,Fifty plants,tree,South America,Cultivated,Moderate,Major,Locally common
,,,cinnamomum,lauraceae,laurales,early angiosperms,camphor laurels,,,NA,tree,Asia,Both,Moderate,Limited,Widespread/Common
cirsium arvense,,creeping thistle,cirsium,asteraceae,asterales,dicots,,,,kintbury,herb,Europe,Wild,Low,None,Widespread/Common
cirsium vulgare,,common thistle,cirsium,asteraceae,asterales,dicots,,,,dorset,herb,Europe,Wild,Low,None,Widespread/Common
,,,cirsium,asteraceae,asterales,dicots,plume thistles,,,NA,herb,Northern Hemisphere,Wild,Low,None,Widespread/Common
cissus verticillata,,possum grape,cissus,vitaceae,vitales,dicots,cissus,,,around amman,vine,Central America,Wild,Low,None,Widespread/Common
cistanche phelypaea,,broomrape,cistanche,orobanchaceae,lamiales,dicots,,,,shaumari reserve,herb,Mediterranean,Wild,Low,None,Uncommon
,,,cistus,cistaceae,malvales,dicots,rock roses,,,NA,shrub,Mediterranean,Both,Moderate,Limited,Widespread/Common
citrullus lanatus,,watermelon,citrullus,cucurbitaceae,cucurbitales,dicots,,,,NA,herb,Africa,Cultivated,High,Major,Widespread/Common
citrus aurantium,,seville orange,citrus,rutaceae,sapindales,dicots,citruses,citrus,,Amman garden,tree,Asia,Cultivated,High,Major,Widespread/Common
citrus limon,,lemon,citrus,rutaceae,sapindales,dicots,citruses,citrus,,Amman garden,tree,Asia,Cultivated,High,Major,Widespread/Common
clematis tangutica,,golden clematis,clematis,ranunculaceae,ranunculales,dicots,,,,knighton,vine,Asia,Cultivated,High,Limited,Widespread/Common
,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
clerodendrum paniculatum,,pagoda flower,clerodendrum,lamiaceae,lamiales,dicots,,,,singapore,shrub,Asia,Cultivated,Moderate,Limited,Widespread/Common
clerodendrum quadriloculare,,starburst bush,clerodendrum,lamiaceae,lamiales,dicots,,,,jakarta,shrub,Southeast Asia,Cultivated,Moderate,Limited,Widespread/Common
clerodendrum thomsoniae,,bleeding glory-bower,clerodendrum,lamiaceae,lamiales,dicots,,,,jakarta,vine,Africa,Cultivated,High,Limited,Widespread/Common
clerodendrum trichotomum,,harlequin glorybower,clerodendrum,lamiaceae,lamiales,dicots,,mints,,yarmouk river,shrub,Asia,Both,Moderate,Limited,Widespread/Common
clethra alnifolia,,sweet pepperbush,clethra,clethraceae,ericales,dicots,clethras,,,greenwich,shrub,Eastern North America,Both,Moderate,Limited,Widespread/Common
clidemia hirta,,soapbush,clidemia,melastomataceae,myrtales,dicots,,,,singapore,shrub,Central America,Wild,Low,None,Widespread/Common
clinopodium nepeta,,calamint,clinopodium,lamiaceae,lamiales,dicots,,mints,,Kempinski,herb,Mediterranean,Both,Moderate,Limited,Widespread/Common
clivia miniata,,natal lily,clivia,amaryllidaceae,asparagales,monocots,natal lilies,,,perth,herb,Africa,Cultivated,High,Limited,Widespread/Common
,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
coccoloba uvifera,,sea grape,coccoloba,polygonaceae,caryophyllales,dicots,,,,Expo,tree,Caribbean,Cultivated,Moderate,Limited,Widespread/Common
cochlospermum vitifolium,,buttercup tree,cochlospermum,bixacea,malvales,dicots,,,,yogyakarta,tree,Central America,Cultivated,Low,None,Widespread/Common
cocos nucifera,,coconut,cocos,arecaceae,arecales,monocots,,palms,tree,Expo,tree,Tropical coastlines,Cultivated,Moderate,Major,Widespread/Common
coffea arabica,,coffee,coffea,rubiaceae,gentianales,dicots,coffees,coffees,,Fifty plants,shrub,Africa,Cultivated,High,Major,Widespread/Common
coix lacryma-jobi,,job's tears,coix,poaceae,poales,monocots,,,,singapore,herb,Asia,Both,Low,Limited,Widespread/Common
,,,cola,malvaceae,malvales,dicots,kola nut,,,NA,tree,Africa,Both,Low,Limited,Widespread/Common
,,,colchicum,colchicaceae,liliales,monocots,meadow saffron,,,NA,herb,Europe,Both,Moderate,Limited,Widespread/Common
colocasia esculenta,,taro,colocasia,araceae,alismatales,monocots,,,,luang prabang,herb,Southeast Asia,Cultivated,Moderate,Major,Widespread/Common
combretum indicum,,burma creeper,combretum,combretaceae,myrtales,dicots,,,,jakarta,vine,Asia,Cultivated,Moderate,Limited,Widespread/Common
conocarpus erectus,,button mangrove,conocarpus,combretaceae,myrtales,dicots,,,,singapore,tree,Tropical coastlines,Wild,Low,None,Widespread/Common
,,,convallaria,asparagaceae,asparagales,monocots,lily of the valley,,,NA,herb,Northern Hemisphere,Both,High,Limited,Widespread/Common
convulvulus arvensis,,field bindweed,convulvulus,convulvulaceae,solanales,dicots,,,,kintbury,herb,Europe,Wild,Low,None,Widespread/Common
coprosma dumosa,,coprosma,coprosma,rubiaceae,gentianales,dicots,,coffees,,Scandinavian forest,shrub,New Zealand,Wild,Low,None,Widespread/Common
coprosma repens,,taupata,coprosma,rubiaceae,gentianales,dicots,,,,sydney,shrub,New Zealand,Both,Moderate,Limited,Widespread/Common
,,,cordia,boraginaceae,boraginales,dicots,manjacks,,,NA,tree,Tropical worldwide,Both,Low,Limited,Widespread/Common
cordyline australis,,cabbage tree,cordyline,asparagaceae,asparagales,monocots,,,,singapore,tree,New Zealand,Both,Moderate,Limited,Widespread/Common
cordyline fruticosa,,ti,cordyline,asparagaceae,asparagales,monocots,cabbage trees,,,jakarta,shrub,Southeast Asia,Cultivated,Moderate,Limited,Widespread/Common
coriandrum sativum,,coriander,coriandrum,apiaceae,apiales,dicots,coriander,carrots,,Fifty plants,herb,Mediterranean,Cultivated,Moderate,Major,Widespread/Common
cornus alternifolia,,alternate-leaved dogwood,cornus,cornaceae,cornales,dicots,,,,greenwich,tree,Eastern North America,Wild,Low,None,Widespread/Common
cornus amomum,,silky dogwood,cornus,cornaceae,cornales,dicots,dogwoods,,,greenwich,shrub,Eastern North America,Wild,Low,None,Widespread/Common
cornus canadensis,,canadian bunchberry,cornus,cornaceae,cornales,dicots,dogwoods,,,charlevoix,herb,North America,Wild,Low,None,Widespread/Common
cornus sanguinea,,common dogwood,cornus,cornaceae,cornales,dicots,dogwoods,,,london,shrub,Europe,Wild,Low,None,Widespread/Common
cornus sericea,,red osia,cornus,cornaceae,cornales,dicots,dogwoods,,,gloucester,shrub,North America,Wild,Low,None,Widespread/Common
corokia cotoneaster,,korokio,corokia,argophyllaceae,asterales,dicots,,,,Kew,shrub,New Zealand,Both,Low,None,Locally common
correa alba,,white correa,correa,rutaceae,sapindales,dicots,,,,sydney,shrub,Australia,Both,Moderate,Limited,Widespread/Common
,,,cortaderia,poaceae,poales,monocots,pampas grasses,,,NA,herb,South America,Both,Moderate,Limited,Widespread/Common
,,,corylopsis,hamamelidaceae,saxifragales,dicots,winter hazel,,,NA,shrub,Asia,Both,Moderate,Limited,Widespread/Common
corylus americana,,american hazelnut,corylus,betulaceae,fagales,dicots,,,tree,greenwich,shrub,Eastern North America,Wild,Low,Limited,Widespread/Common
corylus avellana,,common hazel,corylus,betulaceae,fagales,dicots,hazels,,tree,kintbury,shrub,Europe,Both,Moderate,Limited,Widespread/Common
,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
corymbia ficifolia,,red flowering gum,corymbia,myrtaceae,myrtales,dicots,,,,perth,tree,Australia,Both,High,Limited,Widespread/Common
cosmos sulphureus,,yellow cosmos,cosmos,asteraceae,asterales,dicots,,,,luang prabang,herb,Central America,Cultivated,High,Limited,Widespread/Common
costus woodsonii,,red button ginger,costus,costaceae,zingiberales,monocots,,,,jakarta,herb,Central America,Cultivated,High,Limited,Widespread/Common
cotinus coggygria,,smokebush,cotinus,anacardiaceae,sapindales,dicots,,,,kintbury,shrub,Europe,Both,High,Limited,Widespread/Common
cotoneaster horizontalis,,,cotoneaster,rosaceae,rosales,dicots,,,,knighton,shrub,Asia,Both,High,Limited,Widespread/Common
couroupita guianensis,,cannonball tree,couroupita,lecythidacea,ericales,dicots,,,,yogyakarta,tree,South America,Cultivated,Low,None,Widespread/Common
crambe maritima,,sea kale,crambe,brassicaceae,brassicales,dicots,,,,dorset,herb,Europe,Wild,Low,Limited,Locally common
crassula ovata,,jade plant,crassula,crassulaceae,saxifragales,dicots,jade plants,,,ottawa,herb,Africa,Cultivated,High,Limited,Widespread/Common
crassula perforata,,,crassula,crassulaceae,saxifragales,dicots,,,,singapore,herb,Africa,Cultivated,High,Limited,Widespread/Common
,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
crataegus monogyna,,common hawthorne,crataegus,rosaceae,rosales,dicots,hawthorns,,,london,tree,Europe,Both,Moderate,Limited,Widespread/Common
crocosmia x crocosmiflora,,montbretia,crocosmia,iridaceae,asparagales,monocots,,,,london,herb,Africa,Cultivated,High,Limited,Widespread/Common
crocus sativus,,saffron,crocus,iridaceae,asparagales,monocots,crocuses,irises,geophyte,Fifty plants,herb,Mediterranean,Cultivated,High,Major,Widespread/Common
cucumis melo,,melon,cucumis,cucurbitaceae,cucurbitales,dicots,cucumbers,,,luang prabang,herb,Africa,Cultivated,High,Major,Widespread/Common
,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
,,,cucurbita,cucurbitaceae,cucurbitales,dicots,squashes,,,NA,herb,Americas,Cultivated,High,Major,Widespread/Common
cuminum cyminum,,cumin,cuminum,apiaceae,apiales,dicots,cumin,carrots,,Fifty plants,herb,Mediterranean,Cultivated,Moderate,Major,Widespread/Common
cunninghamia lanceolata,,chinese fir,cunninghamia,cupressaceae,cupressales,conifers,,,tree,london,tree,China,Both,Low,Limited,Widespread/Common
cupressus cashmeriana,,kashmir cypress,cupressus,cupressaceae,cupressales,conifers,cypresses,,tree,kew,tree,Himalayas,Both,Low,Limited,Uncommon
cupressus nootkatensis,,nootka cypress,cupressus,cupressaceae,cupressales,conifers,cypresses,,tree,Kew,tree,Western North America,Both,Low,Limited,Widespread/Common
cupressus sempervirens,,mediterranean cypress,cupressus,cupressaceae,cupressales,conifers,cypresses,cypresses,tree,Scandinavian forest,tree,Mediterranean,Both,Moderate,Limited,Widespread/Common
,,,cuscuta,convulvulaceae,solanales,dicots,dodder,,,NA,vine,Worldwide,Wild,Low,None,Widespread/Common
cycas revoluta,,sago cycad,cycas,cycadaceae,cycadales,cycads,cycads,cycads,,Amman garden,herb,Asia,Cultivated,High,Limited,Widespread/Common
,,,cyclamen,primulaceae,ericales,dicots,sowbread,,,NA,herb,Mediterranean,Both,High,Limited,Widespread/Common
cydonia oblonga,,quince,cydonia,rosaceae,rosales,dicots,,,,around amman,tree,Asia,Cultivated,Moderate,Limited,Widespread/Common
cylindropuntia leptocaulis,,christmas cholla,cylindropuntia,cactaceae,caryophyllales,dicots,,cactus,,petra desert,shrub,North America,Wild,Low,None,Widespread/Common
cymbalaria muralis,,oxford ivy,cymbalaria,plantaginaceae,lamiales,dicots,,,,dorset,herb,Europe,Wild,Low,None,Widespread/Common
,,,cynara,asteraceae,asterales,dicots,artichokes,,,NA,herb,Mediterranean,Cultivated,High,Limited,Widespread/Common
cynosurus echinatus,,hedgehog dogtail,cynosurus,poaceae,poales,monocots,,grasses,,amman,herb,Mediterranean,Wild,Low,None,Widespread/Common
cyperus papyrus,,papyrus,cyperus,cyperaceae,poales,monocots,,sedges,,Fifty plants,herb,Africa,Both,Low,Limited,Widespread/Common
cytisus scoparius,,scotch broom,cytisus,fabaceae,fabales,dicots,,,,london,shrub,Europe,Both,Low,None,Widespread/Common
dacrydium cupressinum,,rimu,dacrydium,podocarpaceae,araucariales,conifers,,,,Kew,tree,New Zealand,Both,Low,Limited,Locally common
dahlia pinnata,,garden dahlia,dahlia,asteraceae,asterales,dicots,dahlias,daisy and sunflower,,Floral bouquet,herb,Central America,Cultivated,High,Limited,Widespread/Common
,,,dalbergia,fabaceae,fabales,dicots,rosewoods,,,NA,tree,Tropical worldwide,Both,Low,Limited,Uncommon
daucus carota,,wild carrot,daucus,apiaceae,apiales,dicots,,,,kintbury,herb,Europe,Wild,Low,None,Widespread/Common
daucus pusillus,,american wild carrot,daucus,apiaceae,apiales,dicots,,carrots,,umm qais,herb,North America,Wild,Low,None,Widespread/Common
delonix regia,,flame tree,delonix,fabaceae,fabales,dicots,,,,luang prabang,tree,Madagascar,Cultivated,Moderate,Limited,Widespread/Common
,,,delphinium,ranunculaceae,ranunculales,dicots,larkspur,,,NA,herb,Northern Hemisphere,Both,High,Limited,Widespread/Common
,,,deschampsia,poaceae,poales,monocots,hairgrass,,,NA,herb,Northern Hemisphere,Wild,Low,None,Widespread/Common
diamorpha smallii,,elf orpine,diamorpha,crassulaceae,saxifragales,dicots,,stonecrop,,Scandinavian forest,herb,Eastern North America,Wild,Low,None,Locally common
,,,dianthus,caryophyllaceae,caryophyllales,dicots,carnations,,,NA,herb,Europe,Cultivated,High,Major,Widespread/Common
dicranopteris linearis,,uluhe,dicranopteris,gleicheniacea,gleicheniales,ferns,,,,singapore,herb,Tropical worldwide,Wild,Low,None,Widespread/Common
,,,dieffenbachia,araceae,alismatales,monocots,,,,NA,herb,Central America,Cultivated,High,Limited,Widespread/Common
,,,dierama,iridaceae,asparagales,monocots,fairybells,,,NA,herb,Africa,Both,Moderate,Limited,Widespread/Common
digitalis purpurea,,foxglove,digitalis,plantaginaceae,lamiales,dicots,foxgloves,,,Fifty plants,herb,Europe,Both,Moderate,Limited,Widespread/Common
dimorphotheca fruticosa,,trailing african daisy,dimorphotheca,asteraceae,asterales,dicots,,daisy and sunflower,,around amman,herb,Africa,Cultivated,High,Limited,Widespread/Common
dionaea muscipula,,venus fly trap,dionaea,droseraceae,caryophyllales,dicots,,,,singapore,herb,Eastern North America,Cultivated,High,Limited,Rare
,,,dionaea,droseraceae,caryophyllales,dicots,fly-traps,,,NA,herb,Eastern North America,Wild,Low,None,Rare
diplotaxis tenuifolia,,perennial wall-rocket,diplotaxis,brassicaceae,brassicales,dicots,,,,knighton,herb,Europe,Wild,Low,None,Widespread/Common
dipsacus fullonum,,wild teasel,dipsacus,caprifoliaceae,dipsacales,dicots,,,,knighton,herb,Europe,Wild,Low,None,Widespread/Common
,,,dipsacus,caprifoliaceae,dipsacales,dicots,teasels,,,NA,herb,Europe,Wild,Low,None,Widespread/Common
discaria toumatou,,matagouri,discaria,rhamnaceae,rosales,dicots,,,,Scandinavian forest,shrub,New Zealand,Wild,Low,None,Locally common
,,,disporum,colchicaceae,liliales,monocots,fairy bells,,,NA,herb,Asia,Wild,Low,None,Widespread/Common
dodonea viscosa,,varnishleaf,dodonaea,sapindaceae,sapindales,dicots,,soapberry,,Amman garden,shrub,Australia,Both,Low,None,Widespread/Common
doellingeria umbellata,,flat-top white aster,doellingeria,asteraceae,asterales,dicots,whitetops,,,charlevoix,herb,Eastern North America,Wild,Low,None,Widespread/Common
dombeya wallichi,,tropical hydrangea,dombeya,malvaceae,malvales,dicots,,mallows,,garden,tree,Madagascar,Cultivated,Moderate,Limited,Widespread/Common
doryanthes excelsa,,gymea lily,doryanthes,doryanthacea,asparagales,monocots,,,,sydney,herb,Australia,Both,Low,None,Locally common
dracaena draco,,dragon tree,dracaena,asparagaceae,asparagales,monocots,,,,singapore,tree,Canary Islands,Cultivated,Moderate,Limited,Uncommon
dracaena fragrans,,cornstalk dracaena,dracaena,asparagaceae,asparagales,monocots,,,,luang prabang,shrub,Africa,Cultivated,High,Limited,Widespread/Common
dracaena reflexa,,song of India,dracaena,asparagaceae,asparagales,monocots,,,,Bermondsey,shrub,Madagascar,Cultivated,High,Limited,Widespread/Common
dracaena trifasciata,,snake plant,dracaena,asparagaceae,asparagales,monocots,,asparagus,,Expo,herb,Africa,Cultivated,High,Limited,Widespread/Common
drimia maritima,,sea squill,drimia,asparagaceae,asparagales,monocots,,asparagus,,Scandinavian forest,herb,Mediterranean,Wild,Low,None,Widespread/Common
drosanthemum floribundum,,pale dewplant,drosanthemum,aizoaceae,caryophyllales,dicots,,stone plants,,embassy garden,herb,Africa,Cultivated,Moderate,Limited,Widespread/Common
,,,drosera,droseraceae,caryophyllales,dicots,sundew,,,NA,herb,Worldwide,Wild,Moderate,Limited,Widespread/Common
dryopteris marginalis,,marginal wood fern,dryopteris,dryopteridaceae,polypodiales,ferns,,,,greenwich,herb,Eastern North America,Wild,Low,None,Widespread/Common
duranta erecta,,skyflower,duranta,verbenaceae,lamiales,dicots,,verbenas,,yarmouk river,shrub,Central America,Cultivated,High,Limited,Widespread/Common
durio zibethinus,,durian,durio,malvaceae,malvales,dicots,,,,bandung,tree,Southeast Asia,Cultivated,Moderate,Limited,Widespread/Common
dypsis lutescens,,areca palm,dypsis,arecaceae,arecales,monocots,,,,lombok,tree,Madagascar,Cultivated,High,Limited,Widespread/Common
,,,ebenopsis,fabaceae,fabales,dicots,texas ebony,,,NA,tree,North America,Wild,Low,None,Locally common
echinacea purpurea,,purple coneflower,echinacea,asteraceae,asterales,dicots,coneflowers,,,greenwich,herb,Eastern North America,Both,High,Limited,Widespread/Common
echinocereus pentalophus,,ladyfinger cactus,echinocereus,cactaceae,caryophyllales,dicots,,,,singapore,herb,North America,Cultivated,High,Limited,Widespread/Common
echinodorus cordifolius,,creeping burhead,echinodorus,alismataceae,alismatales,monocots,,,,jakarta,herb,Americas,Both,Low,None,Widespread/Common
echinops ritro,,southern globe-thistle,echinops,asteraceae,asterales,dicots,,,,london,herb,Mediterranean,Both,Moderate,Limited,Widespread/Common
,,,echinops,asteraceae,asterales,dicots,globe thistles,,,NA,herb,Europe,Both,Moderate,Limited,Widespread/Common
echium pininana,,giant vipers-bugloss,echium,boraginaceae,boraginales,dicots,,,,Kew,herb,Canary Islands,Cultivated,Moderate,Limited,Locally common
ehrharta erecta,,panic veldtgrass,ehrharta,poaceae,poales,monocots,,,,perth,herb,Africa,Wild,Low,None,Widespread/Common
,,,elaeis,arecaceae,arecales,monocots,oil palms,,,NA,tree,Africa,Cultivated,Moderate,Major,Widespread/Common
elaeagnus angustifolia,,russian olive,eleagnus,eleagnaceae,rosales,dicots,,,,Expo,tree,Asia,Both,Low,Limited,Widespread/Common
eleagnus umbellata,,autumn olive,eleagnus,eleagnaceae,rosales,dicots,oleasters,,,greenwich,shrub,Asia,Both,Low,None,Widespread/Common
,,,eleocharis,cyperaceae,poales,monocots,spikesedges,,,NA,herb,Worldwide,Wild,Low,None,Widespread/Common
elettaria cardamomum,,cardamom,elettaria,zingiberaceae,zingiberales,monocots,,ginger,,Fifty plants,herb,India,Cultivated,Moderate,Major,Widespread/Common
eleusine indica,,goosegrass,eleusine,poaceae,poales,monocots,,,,luang prabang,herb,Africa,Wild,Low,None,Widespread/Common
encephalartos horridus,,eastern cape blue cycad,encephalartos,zamiaceae,cycadales,cycads,,,,kew,herb,Africa,Cultivated,Low,None,Rare
encephalartos woodii,,wood's cycad,encephalartos,zamiaceae,cycadales,cycads,,,,kew,herb,Africa,Cultivated,Low,None,Very rare/Endangered
ephedra antisyphilitica,,joint-fir,ephedra,ephedraceae,ephedrales,gnetophytes,,,,Expo,shrub,North America,Wild,Low,None,Widespread/Common
epilobium montium,,,epilobium,onagraceae,myrtales,dicots,,,,knighton,herb,Northern Hemisphere,Wild,Low,None,Widespread/Common
epipremnum aureum,,taro vine,epipremnum,araceae,alismatales,monocots,,,,jakarta,vine,Southeast Asia,Cultivated,High,Limited,Widespread/Common
erica verticillata,,whorl heath,erica,ericaceae,ericales,dicots,heathers,,,kew,shrub,Africa,Cultivated,Moderate,Limited,Rare
eriobotrya japonica,,loquat,eriobotrya,rosaceae,rosales,dicots,loquats,roses,,Office,tree,Asia,Cultivated,Moderate,Limited,Widespread/Common
