
SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE-FORM TYPE,SEEN AT,GROWTH FORM,GEOGRAPHIC ORIGIN,SPECIFIC LOCATION,GENERAL LOCATION,HEMISPHERE,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS,SOURCE,NOTES,IMAGE
beaucarnea reurverata,,elephants foot,beaucarnea,asparagaceae,asparagales,monocots,,asparagus,,office,tree,Central America,,Central America,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
begonia cucullata,,clubbed begonia,begonia,begoniaceae,cucurbitales,dicots,,,,kintbury,herb,South America,,South America,Southern,Cultivated,High,Limited,Widespread/Common,natural,,
begonia formosana,,clubbed begonia,begonia,begoniaceae,cucurbitales,dicots,,,,singapore,herb,Asia,,Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
,,,,,,,,,,,unknown,,,,,,,,,natural,,
,,,bellis,asteraceae,asterales,dicots,daisies,daisy family,,,herb,Europe,,Europe,Northern,Both,High,Limited,Widespread/Common,natural,,
berberis darwinii,,darwins barberry,berberis,berberidaceae,ranunculales,dicots,,,,london,shrub,South America,,South America,Southern,Both,Moderate,Limited,Widespread/Common,natural,,
berberis thunbergii,,red barberry,berberis,berberidaceae,ranunculales,dicots,,,,knighton,shrub,Asia,,Asia,Northern,Both,High,Limited,Widespread/Common,natural,,
,,,berberis,berberidaceae,ranunculales,dicots,barberries,,,,shrub,Northern Hemisphere,,,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
,,,beta,amaranthaceae,caryophyllales,dicots,beets,,,,herb,Mediterranean,,Mediterranean,Northern,Cultivated,High,Major,Widespread/Common,natural,,
betula nigra,,river birch,betula,betulaceae,fagales,dicots,birches,birch family,phanerophyte,charlevoix,tree,Eastern North America,,North America,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
betula pendula,,silver birch,betula,betulaceae,fagales,dicots,birches,birches,phanerophyte,online,tree,Europe,,Europe,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
betula populifolia,,gray birch,betula,betulaceae,fagales,dicots,birches,birch family,phanerophyte,greenwich,tree,Eastern North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
bidens pilosa,,black-jack,bidens,asteraceae,asterales,dicots,,daisy family,,luang prabang,herb,Americas,,Americas,Both,Wild,Low,None,Widespread/Common,natural,,
bismarckia nobilis,,bismarck palm,bismarckia,arecaceae,arecales,monocots,,,,,tree,Madagascar,Madagascar,Africa,Southern,Cultivated,High,Limited,Uncommon,natural,,
blechnum penna-marina,,alpine hard fern,blechnum,blechnaceae,polypodiales,ferns,,,,perth,herb,Southern Hemisphere,,,Southern,Wild,Low,None,Widespread/Common,natural,,
bocconia frutescens,,tree poppy,bocconia,papaveraceae,ranunculales,dicots,,,,singapore,shrub,Central America,,Central America,Northern,Cultivated,Low,None,Widespread/Common,natural,,
boehmeria nivea,,ramie,boehmeria,urticaceae,rosales,dicots,,,,luang prabang,herb,Asia,,Asia,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
,,,borago,boraginaceae,boraginales,dicots,borage,borage family,,,herb,Mediterranean,,Mediterranean,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
bougainvillea glabra,,lesser bougainvillea,bougainvillea,nyctaginaceae,caryophyllales,dicots,bougainvilleas,,,around amman,vine,South America,,South America,Southern,Cultivated,High,Limited,Widespread/Common,natural,,
bougainvillea spectabilis,,bougainvillea,bougainvillea,nyctaginaceae,caryophyllales,dicots,,four-o'clocks,,Kempinski,vine,South America,,South America,Southern,Cultivated,High,Limited,Widespread/Common,natural,,
,,,bowenia,stangeriaceae,cycadales,cycads,,,,,herb,Australia,Australia,Australia,Southern,Wild,Low,None,Rare,natural,,
brassica oleracea,,cabbage,brassica,brassicaceae,brassicales,dicots,cabbages,mustard and cabbage,,Fifty plants,herb,Mediterranean,,Mediterranean,Northern,Cultivated,High,Major,Widespread/Common,natural,,
bromus tectorum,,cheat grass,bromus,poaceae,poales,monocots,grasses,grasses,,amman,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
brugmansia arborea,,angel's trumpet,brugmansia,solanaceae,solanales,dicots,,,,,shrub,South America,,South America,Southern,Cultivated,High,Limited,Widespread/Common,natural,,
brugmansia sanguinea,,red angels trumpet,brugmansia,solanaceae,solanales,dicots,angels trumpets,,,Kew,shrub,South America,,South America,Southern,Cultivated,High,Limited,Widespread/Common,natural,,
buddleja davidii,,butterfly bush,buddleja,scrophulariaceae,lamiales,dicots,butterfly bushes,,,Bermondsey,shrub,China,China,Asia,Northern,Both,High,Limited,Widespread/Common,natural,,
,,,bulbine,asphodelaceae,asparagales,monocots,,,,,herb,Africa,,Africa,Both,Both,Moderate,Limited,Widespread/Common,natural,,
buxus sempervirens,,common box,buxus,buxaceae,buxales,dicots,,,,,shrub,Europe,,Europe,Northern,Both,High,Limited,Widespread/Common,natural,,
caesalpinia pulcherrima,,peacock flower,caesalpinia,fabaceae,fabales,dicots,,legume family,,singapore,shrub,Central America,,Central America,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
caesalpinia sclerocarpa,,,caesalpinia,fabaceae,fabales,dicots,,legume family,,perth,shrub,Australia,Australia,Australia,Southern,Wild,Low,None,Widespread/Common,natural,,
caladium bicolor,,heart of jesus,caladium,araceae,alismatales,monocots,,,,singapore,herb,South America,,South America,Southern,Cultivated,High,Limited,Widespread/Common,natural,,
calamagrostis canadensis,,canadian reedgrass,calamagrostis,poaceae,poales,monocots,,grass family,,knighton,herb,North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
,,,calamagrostis,poaceae,poales,monocots,reed grass,grass family,,,herb,Northern Hemisphere,,,Northern,Wild,Low,None,Widespread/Common,natural,,
,,,calamus,arecaceae,arecales,monocots,rattan palms,,,,vine,Southeast Asia,,Southeast Asia,Northern,Both,Low,Limited,Widespread/Common,natural,,
calendula arvensis,,field marigold,calendula,asteraceae,asterales,dicots,,daisy and sunflower,,Scandinavian forest,herb,Mediterranean,,Mediterranean,Northern,Wild,Low,None,Widespread/Common,natural,,
calendula officinalis,,field marigold,calendula,asteraceae,asterales,dicots,,daisy family,,dorset,herb,Mediterranean,,Mediterranean,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
calliandra haematocephala,,scarlet powder-puff,calliandra,fabaceae,fabales,dicots,,legumes,,yarmouk river,shrub,Central America,,Central America,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
callianthe megapotamica,,trailling abutilon,callianthe,malvaceae,malvales,dicots,,mallow family,,singapore,shrub,South America,,South America,Southern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
,,,callistemon,myrtaceae,myrtales,dicots,bottlebrushes,myrtle family,,,shrub,Australia,Australia,Australia,Southern,Both,High,Limited,Widespread/Common,natural,,
calluna vulgaris,,common heather,calluna,ericaceae,ericales,dicots,ling,heath family,,,shrub,Europe,,Europe,Northern,Wild,Moderate,Limited,Widespread/Common,natural,,
calocedrus decurrens,,california incense-cedar,calocedrus,cupressaceae,cupressales,conifers,incense cedars,cypress family,phanerophyte,Kew,tree,Western North America,,North America,Northern,Both,Low,Limited,Widespread/Common,natural,,
calocedrus formosana,,taiwan incense cedar,calocedrus,cupressaceae,cupressales,conifers,incense cedars,cypress family,phanerophyte,kew,tree,Taiwan,Taiwan,Asia,Northern,Both,Low,None,Locally common,natural,,
,,,calochortus,liliaceae,liliales,monocots,mariposa lilies,,,,herb,Western North America,,North America,Northern,Wild,Moderate,Limited,Widespread/Common,natural,,
calophyllum inophyllum,,tamanu,calophyllum,calophyllaceae,malpighiales,dicots,,,,singapore,tree,Indian Ocean,,Indian Ocean,Southern,Both,Low,Limited,Widespread/Common,natural,,
calotropis gigantea,,crown flower,calotropis,apocynaceae,gentianales,dicots,,,,timor leste,shrub,Asia,,Asia,Northern,Both,Low,None,Widespread/Common,natural,,
,,,camassia,asparagaceae,asparagales,monocots,camas lilies,,,,herb,Western North America,,North America,Northern,Wild,Moderate,Limited,Widespread/Common,natural,,
camellia japonica,,japanese camellia,camellia,theaceae,ericales,dicots,tea,,,Kew,shrub,Asia,,Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
camellia sinensis,,tea,camellia,theaceae,ericales,dicots,tea,tea,,Fifty plants,shrub,Asia,,Asia,Northern,Cultivated,High,Major,Widespread/Common,natural,,
,,,campanulla,campanulaceae,asterales,dicots,harebells,,,,herb,Northern Hemisphere,,,Northern,Both,High,Limited,Widespread/Common,natural,,
campsis radicans,,american trumpet vine,campsis,bignoniaceae,lamiales,dicots,trumpet vines,,,around amman,vine,Eastern North America,,North America,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
canna indica,,indian shot,canna,cannaceae,zingiberales,monocots,,,,,herb,Central America,,Central America,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
canna x generalis,,indian shot,canna,cannaceae,zingiberales,monocots,canna lillies,,,around amman,herb,Central America,,Central America,Northern,Cultivated,High,Limited,Widespread/Common,bred,,
cannabis sativa,,cannabis,cannabis,cannabaceae,rosales,dicots,cannabis,,,Fifty plants,herb,Central Asia,,Central Asia,Northern,Cultivated,High,Major,Widespread/Common,natural,,
capparis spinosa,,caper bush,capparis,capparaceae,brassicales,dicots,caper,,,around amman,shrub,Mediterranean,,Mediterranean,Northern,Both,Low,Limited,Widespread/Common,natural,,
capsicum annuum,,pepper,capsicum,solanaceae,solanales,dicots,peppers,nightshades,,Fifty plants,herb,Central America,,Central America,Northern,Cultivated,High,Major,Widespread/Common,natural,,
capsicum chinense,,habanero,capsicum,solanaceae,solanales,dicots,peppers,nightshades,,Fifty plants,herb,Central America,,Central America,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
capsicum frutescens,,wild chili,capsicum,solanaceae,solanales,dicots,peppers,nightshades,,Fifty plants,herb,Central America,,Central America,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
,,,carduus,asteraceae,asterales,dicots,plumeless thistles,daisy family,,,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
,,,carex,cyperaceae,poales,monocots,true sedges,,,,herb,Worldwide,,Worldwide,Both,Wild,Low,None,Widespread/Common,natural,,
carica papaya,,papaya,carica,caricaceae,brassicales,dicots,,papaya,phanerophyte,yarmouk river,tree,Central America,,Central America,Northern,Cultivated,Moderate,Major,Widespread/Common,natural,,
carissa bispinosa,,num-num,carissa,apocynaceae,gentianales,dicots,,dog-banes,,Expo,shrub,Africa,,Africa,Both,Both,Low,Limited,Widespread/Common,natural,,
carissa macrocarpa,,natal plum,carissa,apocynaceae,gentianales,dicots,,dog-banes,,Kempinski,shrub,Africa,,Africa,Both,Cultivated,Moderate,Limited,Widespread/Common,natural,,
,,,carpinus,betulaceae,fagales,dicots,hornbeams,birch family,,,tree,Northern Hemisphere,,,Northern,Both,Low,Limited,Widespread/Common,natural,,
carum carvi,,caraway,carum,apiaceae,apiales,dicots,,carrots,,Fifty plants,herb,Europe,,Europe,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
carya illinoinensis,,pecan,carya,juglandaceae,fagales,dicots,,,phanerophyte,london,tree,Eastern North America,,North America,Northern,Cultivated,High,Major,Widespread/Common,natural,,
carya ovata,,shagbark hickory,carya,juglandaceae,fagales,dicots,hickories,,phanerophyte,greenwich,tree,Eastern North America,,North America,Northern,Wild,Low,Limited,Widespread/Common,natural,,
cascabela thevetia,,be-still tree,cascabela,apocynaceae,gentianales,dicots,cascabela,,,around amman,tree,Central America,,Central America,Northern,Cultivated,Low,None,Widespread/Common,natural,,
cassia fistula,,golden shower tree,cassia,fabaceae,fabales,dicots,,legume family,phanerophyte,yogyakarta,tree,Asia,,Asia,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
castanea sativa,,sweet chestnut,castanea,fagaceae,fagales,dicots,,"oak, chestnut and beech",phanerophyte,online,tree,Europe,,Europe,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
casuarina equisetifolia,,beach sheoak,casuarina,casuarinaceae,fagales,dicots,,,phanerophyte,Amman garden,tree,Australia,Australia,Australia,Southern,Both,Low,Limited,Widespread/Common,natural,,
catharanthus roseus,,madagascar periwinkle,catharanthus,apocynaceae,gentianales,dicots,,dog-banes,,Expo,herb,Madagascar,Madagascar,Africa,Southern,Cultivated,High,Limited,Widespread/Common,natural,,
cayratia japonica,,yabu garashi,cayratia,vitaceae,vitales,dicots,,,,singapore,vine,Asia,,Asia,Northern,Wild,Low,None,Widespread/Common,natural,,
ceanothus thyrsiflorus,,blueblossom,ceanothus,rhamnaceae,rosales,dicots,,buckthorn,,london,shrub,Western North America,,North America,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
cedrus atlantica,,atlas cedar,cedrus,pinaceae,pinales,conifers,cedars,pine family,phanerophyte,Kew,tree,North Africa,,North Africa,Northern,Both,Moderate,Limited,Locally common,natural,,
cedrus atlantica 'glauca',,blue atlas cedar,cedrus,pinaceae,pinales,conifers,cedars,pine family,phanerophyte,kew,tree,North Africa,,North Africa,Northern,Cultivated,High,Limited,Locally common,natural,,
cedrus deodara,,deodar cedar,cedrus,pinaceae,pinales,conifers,cedars,pine family,phanerophyte,Kew,tree,Himalayas,Himalayas,Asia,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
cedrus libani,,cedar of lebanon,cedrus,pinaceae,pinales,conifers,cedars,pine family,phanerophyte,kew,tree,Mediterranean,,Mediterranean,Northern,Both,Moderate,Limited,Uncommon,natural,,
ceiba pentandra,,kapok tree,ceiba,malvaceae,malvales,dicots,,mallow family,,singapore,tree,Tropical Americas,,Tropical Americas,Both,Both,Low,Limited,Widespread/Common,natural,,
ceiba speciosa,,silk floss tree,ceiba,malvaceae,malvales,dicots,,mallow family,phanerophyte,,tree,South America,,South America,Southern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
celastrus scandens,,american bittersweet,celastrus,celastraceae,celastrales,dicots,,,,,vine,Eastern North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
celosia argentea,,plumed cockscomb,celosia,amaranthaceae,caryophyllales,dicots,cockscomb,,,singapore,herb,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,natural,,
,,,,,,,,,,,unknown,,,,,,,,,natural,,
cenchrus ciliaris,,buffelgrass,cenchrus,poaceae,poales,monocots,,grasses,,Expo,herb,Africa,,Africa,Both,Both,Low,None,Widespread/Common,natural,,
centaurea calcitrapa,,purple star-thistle,centaurea,asteraceae,asterales,dicots,,daisy and sunflower,,around amman,herb,Mediterranean,,Mediterranean,Northern,Wild,Low,None,Widespread/Common,natural,,
centaurea jacea,,brown knapweed,centaurea,asteraceae,asterales,dicots,,daisy family,,kintbury,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
centaurea nigra,,common knapweed,centaurea,asteraceae,asterales,dicots,,daisy family,,london,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
centranthus ruber,,red valerian,centranthus,caprifoliaceae,dipsacales,dicots,,,,knighton,herb,Mediterranean,,Mediterranean,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
,,,cephalotaxus,taxaceae,pinales,conifers,plum yew,,phanerophyte,,shrub,Asia,,Asia,Northern,Both,Low,Limited,Widespread/Common,natural,,
ceratonia siliqua,,carob tree,ceratonia,fabaceae,fabales,dicots,,legume family,phanerophyte,,tree,Mediterranean,,Mediterranean,Northern,Both,Low,Limited,Widespread/Common,natural,,
,,,cereus,cactaceae,caryophyllales,dicots,saguaros,cactus family,,,shrub,Americas,,Americas,Both,Both,Moderate,Limited,Widespread/Common,natural,,
,,,ceropegia,apocynaceae,gentianales,dicots,lantern flower,,,,herb,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,natural,,
cestrum nocturnum,,night jessamine,cestrum,solanaceae,solanales,dicots,,,,,shrub,Central America,,Central America,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
chamaecyparis lawsoniana,,lawson cypress,chamaecyparis,cupressaceae,cupressales,conifers,false cypresses,cypress family,phanerophyte,kintbury,tree,Western North America,,North America,Northern,Both,High,Limited,Widespread/Common,natural,,
,,,chamaelirium,melanthiaceae,liliales,monocots,fairy wand,,,,herb,Eastern North America,,North America,Northern,Wild,Low,None,Locally common,natural,,
chamaenerion angustifolium,,great willowherb,chamaenerion,onagraceae,myrtales,dicots,fireweeds,,,charlevoix,herb,Northern Hemisphere,,,Northern,Wild,Low,None,Widespread/Common,natural,,
chenopodium quinoa,,quinoa,chenopodium,amaranthaceae,caryophyllales,dicots,,amaranth,,Expo,herb,South America,,South America,Southern,Cultivated,High,Major,Widespread/Common,natural,,
,,,chlorophytum,asparagaceae,asparagales,monocots,spider plant,,,,herb,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,natural,,
choisya ternata,,mexican orange blossom,choisya,rutaceae,sapindales,dicots,,citrus family,,kintbury,shrub,Central America,,Central America,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
chromolaena odorata,,triffid,chromolaena,asteraceae,asterales,dicots,,daisy family,,luang prabang,herb,Central America,,Central America,Northern,Wild,Low,None,Widespread/Common,natural,,
,,,chrysanthemum,asteraceae,asterales,dicots,chrysanthemums,daisy family,,,herb,Asia,,Asia,Northern,Cultivated,High,Major,Widespread/Common,natural,,
cichorium intybus,,chicory,cichorium,asteraceae,asterales,dicots,chicories and endives,daisy family,,charlevoix,herb,Europe,,Europe,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
cinchona ledgeriana,,quinine,cinchona,rubiaceae,gentianales,dicots,quinines,coffees,phanerophyte,Fifty plants,tree,South America,,South America,Southern,Cultivated,Moderate,Major,Locally common,natural,,
,,,cinnamomum,lauraceae,laurales,early angiosperms,camphor laurels,,,,tree,Asia,,Asia,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
cirsium arvense,,creeping thistle,cirsium,asteraceae,asterales,dicots,,daisy family,,kintbury,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
cirsium vulgare,,common thistle,cirsium,asteraceae,asterales,dicots,,daisy family,,dorset,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
,,,cirsium,asteraceae,asterales,dicots,plume thistles,daisy family,,,herb,Northern Hemisphere,,,Northern,Wild,Low,None,Widespread/Common,natural,,
cissus verticillata,,possum grape,cissus,vitaceae,vitales,dicots,cissus,,,around amman,vine,Central America,,Central America,Northern,Wild,Low,None,Widespread/Common,natural,,
cistanche phelypaea,,broomrape,cistanche,orobanchaceae,lamiales,dicots,,,,shaumari reserve,herb,Mediterranean,,Mediterranean,Northern,Wild,Low,None,Uncommon,natural,,
,,,cistus,cistaceae,malvales,dicots,rock roses,,,,shrub,Mediterranean,,Mediterranean,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
citrullus lanatus,,watermelon,citrullus,cucurbitaceae,cucurbitales,dicots,,,,,herb,Africa,,Africa,Both,Cultivated,High,Major,Widespread/Common,natural,,
citrus aurantium,,seville orange,citrus,rutaceae,sapindales,dicots,citruses,citrus,,Amman garden,tree,Asia,,Asia,Northern,Cultivated,High,Major,Widespread/Common,natural,,
citrus limon,,lemon,citrus,rutaceae,sapindales,dicots,citruses,citrus,,Amman garden,tree,Asia,,Asia,Northern,Cultivated,High,Major,Widespread/Common,natural,,
clematis tangutica,,golden clematis,clematis,ranunculaceae,ranunculales,dicots,,,,knighton,vine,Asia,,Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
,,,,,,,,,,,unknown,,,,,,,,,natural,,
clerodendrum paniculatum,,pagoda flower,clerodendrum,lamiaceae,lamiales,dicots,,mint family,,singapore,shrub,Asia,,Asia,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
clerodendrum quadriloculare,,starburst bush,clerodendrum,lamiaceae,lamiales,dicots,,mint family,,jakarta,shrub,Southeast Asia,,Southeast Asia,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
clerodendrum thomsoniae,,bleeding glory-bower,clerodendrum,lamiaceae,lamiales,dicots,,mint family,,jakarta,vine,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,natural,,
clerodendrum trichotomum,,harlequin glorybower,clerodendrum,lamiaceae,lamiales,dicots,,mints,,yarmouk river,shrub,Asia,,Asia,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
clethra alnifolia,,sweet pepperbush,clethra,clethraceae,ericales,dicots,clethras,,,greenwich,shrub,Eastern North America,,North America,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
clidemia hirta,,soapbush,clidemia,melastomataceae,myrtales,dicots,,,,singapore,shrub,Central America,,Central America,Northern,Wild,Low,None,Widespread/Common,natural,,
clinopodium nepeta,,calamint,clinopodium,lamiaceae,lamiales,dicots,,mints,,Kempinski,herb,Mediterranean,,Mediterranean,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
clivia miniata,,natal lily,clivia,amaryllidaceae,asparagales,monocots,natal lilies,,,perth,herb,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,natural,,
,,,,,,,,,,,unknown,,,,,,,,,natural,,
coccoloba uvifera,,sea grape,coccoloba,polygonaceae,caryophyllales,dicots,,,,Expo,tree,Caribbean,,Caribbean,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
cochlospermum vitifolium,,buttercup tree,cochlospermum,bixacea,malvales,dicots,,,,yogyakarta,tree,Central America,,Central America,Northern,Cultivated,Low,None,Widespread/Common,natural,,
cocos nucifera,,coconut,cocos,arecaceae,arecales,monocots,,palms,phanerophyte,Expo,tree,Tropical coastlines,,Tropical coastlines,Both,Cultivated,Moderate,Major,Widespread/Common,natural,,
coffea arabica,,coffee,coffea,rubiaceae,gentianales,dicots,coffees,coffees,,Fifty plants,shrub,Africa,,Africa,Both,Cultivated,High,Major,Widespread/Common,natural,,
coix lacryma-jobi,,job's tears,coix,poaceae,poales,monocots,,grass family,,singapore,herb,Asia,,Asia,Northern,Both,Low,Limited,Widespread/Common,natural,,
,,,cola,malvaceae,malvales,dicots,kola nut,mallow family,,,tree,Africa,,Africa,Both,Both,Low,Limited,Widespread/Common,natural,,
,,,colchicum,colchicaceae,liliales,monocots,meadow saffron,,,,herb,Europe,,Europe,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
colocasia esculenta,,taro,colocasia,araceae,alismatales,monocots,,,,luang prabang,herb,Southeast Asia,,Southeast Asia,Northern,Cultivated,Moderate,Major,Widespread/Common,natural,,
combretum indicum,,burma creeper,combretum,combretaceae,myrtales,dicots,,,,jakarta,vine,Asia,,Asia,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
conocarpus erectus,,button mangrove,conocarpus,combretaceae,myrtales,dicots,,,,singapore,tree,Tropical coastlines,,Tropical coastlines,Both,Wild,Low,None,Widespread/Common,natural,,
,,,convallaria,asparagaceae,asparagales,monocots,lily of the valley,,,,herb,Northern Hemisphere,,,Northern,Both,High,Limited,Widespread/Common,natural,,
convulvulus arvensis,,field bindweed,convulvulus,convulvulaceae,solanales,dicots,,,,kintbury,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
coprosma dumosa,,coprosma,coprosma,rubiaceae,gentianales,dicots,,coffees,,Scandinavian forest,shrub,New Zealand,New Zealand,Oceania,Southern,Wild,Low,None,Widespread/Common,natural,,
coprosma repens,,taupata,coprosma,rubiaceae,gentianales,dicots,,,,sydney,shrub,New Zealand,New Zealand,Oceania,Southern,Both,Moderate,Limited,Widespread/Common,natural,,
,,,cordia,boraginaceae,boraginales,dicots,manjacks,borage family,,,tree,Tropical worldwide,,Tropical worldwide,Both,Both,Low,Limited,Widespread/Common,natural,,
cordyline australis,,cabbage tree,cordyline,asparagaceae,asparagales,monocots,,,,singapore,tree,New Zealand,New Zealand,Oceania,Southern,Both,Moderate,Limited,Widespread/Common,natural,,
cordyline fruticosa,,ti,cordyline,asparagaceae,asparagales,monocots,cabbage trees,,,jakarta,shrub,Southeast Asia,,Southeast Asia,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
coriandrum sativum,,coriander,coriandrum,apiaceae,apiales,dicots,coriander,carrots,,Fifty plants,herb,Mediterranean,,Mediterranean,Northern,Cultivated,Moderate,Major,Widespread/Common,natural,,
cornus alternifolia,,alternate-leaved dogwood,cornus,cornaceae,cornales,dicots,,,,greenwich,tree,Eastern North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
cornus amomum,,silky dogwood,cornus,cornaceae,cornales,dicots,dogwoods,,,greenwich,shrub,Eastern North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
cornus canadensis,,canadian bunchberry,cornus,cornaceae,cornales,dicots,dogwoods,,,charlevoix,herb,North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
cornus sanguinea,,common dogwood,cornus,cornaceae,cornales,dicots,dogwoods,,,london,shrub,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
cornus sericea,,red osia,cornus,cornaceae,cornales,dicots,dogwoods,,,gloucester,shrub,North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
corokia cotoneaster,,korokio,corokia,argophyllaceae,asterales,dicots,,,,Kew,shrub,New Zealand,New Zealand,Oceania,Southern,Both,Low,None,Locally common,natural,,
correa alba,,white correa,correa,rutaceae,sapindales,dicots,,citrus family,,sydney,shrub,Australia,Australia,Australia,Southern,Both,Moderate,Limited,Widespread/Common,natural,,
,,,cortaderia,poaceae,poales,monocots,pampas grasses,grass family,,,herb,South America,,South America,Southern,Both,Moderate,Limited,Widespread/Common,natural,,
,,,corylopsis,hamamelidaceae,saxifragales,dicots,winter hazel,,,,shrub,Asia,,Asia,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
corylus americana,,american hazelnut,corylus,betulaceae,fagales,dicots,,birch family,phanerophyte,greenwich,shrub,Eastern North America,,North America,Northern,Wild,Low,Limited,Widespread/Common,natural,,
corylus avellana,,common hazel,corylus,betulaceae,fagales,dicots,hazels,birch family,phanerophyte,kintbury,shrub,Europe,,Europe,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
,,,,,,,,,,,unknown,,,,,,,,,natural,,
corymbia ficifolia,,red flowering gum,corymbia,myrtaceae,myrtales,dicots,,myrtle family,,perth,tree,Australia,Australia,Australia,Southern,Both,High,Limited,Widespread/Common,natural,,
cosmos sulphureus,,yellow cosmos,cosmos,asteraceae,asterales,dicots,,daisy family,,luang prabang,herb,Central America,,Central America,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
costus woodsonii,,red button ginger,costus,costaceae,zingiberales,monocots,,,,jakarta,herb,Central America,,Central America,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
cotinus coggygria,,smokebush,cotinus,anacardiaceae,sapindales,dicots,,cashew family,,kintbury,shrub,Europe,,Europe,Northern,Both,High,Limited,Widespread/Common,natural,,
cotoneaster horizontalis,,,cotoneaster,rosaceae,rosales,dicots,,rose family,,knighton,shrub,Asia,,Asia,Northern,Both,High,Limited,Widespread/Common,natural,,
couroupita guianensis,,cannonball tree,couroupita,lecythidacea,ericales,dicots,,,,yogyakarta,tree,South America,,South America,Southern,Cultivated,Low,None,Widespread/Common,natural,,
crambe maritima,,sea kale,crambe,brassicaceae,brassicales,dicots,,mustard family,,dorset,herb,Europe,,Europe,Northern,Wild,Low,Limited,Locally common,natural,,
crassula ovata,,jade plant,crassula,crassulaceae,saxifragales,dicots,jade plants,,,ottawa,herb,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,natural,,
crassula perforata,,,crassula,crassulaceae,saxifragales,dicots,,,,singapore,herb,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,natural,,
