SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE-FORM TYPE,SEEN AT,GROWTH FORM,GEOGRAPHIC ORIGIN,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS
,,,calochortus,liliaceae,liliales,monocots,mariposa lilies,,,NA,Herb,Western North America,Wild,Moderate,Limited,Widespread/Common
calophyllum inophyllum,,tamanu,calophyllum,calophyllaceae,malpighiales,dicots,,,,singapore,Tree,Indian Ocean,Both,Low,Limited,Widespread/Common
calotropis gigantea,,crown flower,calotropis,apocynaceae,gentianales,dicots,,,,timor leste,Shrub,Asia,Both,Low,None,Widespread/Common
,,,camassia,asparagaceae,asparagales,monocots,camas lilies,,,NA,Herb,Western North America,Wild,Moderate,Limited,Widespread/Common
camellia japonica,,japanese camellia,camellia,theaceae,ericales,dicots,tea,,,Kew,Shrub,Asia,Cultivated,High,Limited,Widespread/Common
camellia sinensis,,tea,camellia,theaceae,ericales,dicots,tea,tea,,Fifty plants,Shrub,Asia,Cultivated,High,Major,Widespread/Common
,,,campanulla,campanulaceae,asterales,dicots,harebells,,,NA,Herb,Northern Hemisphere,Both,High,Limited,Widespread/Common
campsis radicans,,american trumpet vine,campsis,bignoniaceae,lamiales,dicots,trumpet vines,,,around amman,Vine,Eastern North America,Both,Moderate,Limited,Widespread/Common
canna indica,,indian shot,canna,cannaceae,zingiberales,monocots,,,,NA,Herb,Central America,Cultivated,High,Limited,Widespread/Common
canna x generalis,,indian shot,canna,cannaceae,zingiberales,monocots,canna lillies,,,around amman,Herb,Central America,Cultivated,High,Limited,Widespread/Common
cannabis sativa,,cannabis,cannabis,cannabaceae,rosales,dicots,cannabis,,,Fifty plants,Herb,Central Asia,Cultivated,High,Major,Widespread/Common
capparis spinosa,,caper bush,capparis,capparaceae,brassicales,dicots,caper,,,around amman,Shrub,Mediterranean,Both,Low,Limited,Widespread/Common
capsicum annuum,,pepper,capsicum,solanaceae,solanales,dicots,peppers,nightshades,,Fifty plants,Herb,Central America,Cultivated,High,Major,Widespread/Common
capsicum chinense,,habanero,capsicum,solanaceae,solanales,dicots,peppers,nightshades,,Fifty plants,Herb,Central America,Cultivated,High,Limited,Widespread/Common
capsicum frutescens,,wild chili,capsicum,solanaceae,solanales,dicots,peppers,nightshades,,Fifty plants,Herb,Central America,Both,Moderate,Limited,Widespread/Common
,,,carduus,asteraceae,asterales,dicots,plumeless thistles,,,NA,Herb,Europe,Wild,Low,None,Widespread/Common
,,,carex,cyperaceae,poales,monocots,true sedges,,,NA,Herb,Worldwide,Wild,Low,None,Widespread/Common
carica papaya,,papaya,carica,caricaceae,brassicales,dicots,,papaya,tree,yarmouk river,Tree,Central America,Cultivated,Moderate,Major,Widespread/Common
carissa bispinosa,,num-num,carissa,apocynaceae,gentianales,dicots,,dog-banes,,Expo,Shrub,Africa,Both,Low,Limited,Widespread/Common
carissa macrocarpa,,natal plum,carissa,apocynaceae,gentianales,dicots,,dog-banes,,Kempinski,Shrub,Africa,Cultivated,Moderate,Limited,Widespread/Common
,,,carpinus,betulaceae,fagales,dicots,hornbeams,,,NA,Tree,Northern Hemisphere,Both,Low,Limited,Widespread/Common
carum carvi,,caraway,carum,apiaceae,apiales,dicots,,carrots,,Fifty plants,Herb,Europe,Cultivated,Moderate,Limited,Widespread/Common
carya illinoinensis,,pecan,carya,juglandaceae,fagales,dicots,,,tree,london,Tree,Eastern North America,Cultivated,High,Major,Widespread/Common
carya ovata,,shagbark hickory,carya,juglandaceae,fagales,dicots,hickories,,tree,greenwich,Tree,Eastern North America,Wild,Low,Limited,Widespread/Common
cascabela thevetia,,be-still tree,cascabela,apocynaceae,gentianales,dicots,cascabela,,,around amman,Tree,Central America,Cultivated,Low,None,Widespread/Common
cassia fistula,,golden shower tree,cassia,fabaceae,fabales,dicots,,,tree,yogyakarta,Tree,Asia,Cultivated,Moderate,Limited,Widespread/Common
castanea sativa,,sweet chestnut,castanea,fagaceae,fagales,dicots,,"oak, chestnut and beech",tree,online,Tree,Europe,Both,Moderate,Limited,Widespread/Common
casuarina equisetifolia,,beach sheoak,casuarina,casuarinaceae,fagales,dicots,,,tree,Amman garden,Tree,Australia,Both,Low,Limited,Widespread/Common
catharanthus roseus,,madagascar periwinkle,catharanthus,apocynaceae,gentianales,dicots,,dog-banes,,Expo,Herb,Madagascar,Cultivated,High,Limited,Widespread/Common
cayratia japonica,,yabu garashi,cayratia,vitaceae,vitales,dicots,,,,singapore,Vine,Asia,Wild,Low,None,Widespread/Common
ceanothus thyrsiflorus,,blueblossom,ceanothus,rhamnaceae,rosales,dicots,,buckthorn,,london,Shrub,Western North America,Both,Moderate,Limited,Widespread/Common
cedrus atlantica,,atlas cedar,cedrus,pinaceae,pinales,conifers,cedars,,tree,Kew,Tree,North Africa,Both,Moderate,Limited,Locally common
cedrus atlantica 'glauca',,blue atlas cedar,cedrus,pinaceae,pinales,conifers,cedars,,tree,kew,Tree,North Africa,Cultivated,High,Limited,Locally common
cedrus deodara,,deodar cedar,cedrus,pinaceae,pinales,conifers,cedars,,tree,Kew,Tree,Himalayas,Both,Moderate,Limited,Widespread/Common
cedrus libani,,cedar of lebanon,cedrus,pinaceae,pinales,conifers,cedars,,tree,kew,Tree,Mediterranean,Both,Moderate,Limited,Uncommon
ceiba pentandra,,kapok tree,ceiba,malvaceae,malvales,dicots,,,,singapore,Tree,Tropical Americas,Both,Low,Limited,Widespread/Common
ceiba speciosa,,silk floss tree,ceiba,malvaceae,malvales,dicots,,,tree,NA,Tree,South America,Cultivated,Moderate,Limited,Widespread/Common
celastrus scandens,,american bittersweet,celastrus,celastraceae,celastrales,dicots,,,,NA,Vine,Eastern North America,Wild,Low,None,Widespread/Common
celosia argentea,,plumed cockscomb,celosia,amaranthaceae,caryophyllales,dicots,cockscomb,,,singapore,Herb,Africa,Cultivated,High,Limited,Widespread/Common
,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
cenchrus ciliaris,,buffelgrass,cenchrus,poaceae,poales,monocots,,grasses,,Expo,Herb,Africa,Both,Low,None,Widespread/Common
centaurea calcitrapa,,purple star-thistle,centaurea,asteraceae,asterales,dicots,,daisy and sunflower,,around amman,Herb,Mediterranean,Wild,Low,None,Widespread/Common
centaurea jacea,,brown knapweed,centaurea,asteraceae,asterales,dicots,,,,kintbury,Herb,Europe,Wild,Low,None,Widespread/Common
centaurea nigra,,common knapweed,centaurea,asteraceae,asterales,dicots,,,,london,Herb,Europe,Wild,Low,None,Widespread/Common
centranthus ruber,,red valerian,centranthus,caprifoliaceae,dipsacales,dicots,,,,knighton,Herb,Mediterranean,Both,Moderate,Limited,Widespread/Common
,,,cephalotaxus,taxaceae,pinales,conifers,plum yew,,tree,NA,Shrub,Asia,Both,Low,Limited,Widespread/Common
ceratonia siliqua,,carob tree,ceratonia,fabaceae,fabales,dicots,,,tree,NA,Tree,Mediterranean,Both,Low,Limited,Widespread/Common
,,,cereus,cactaceae,caryophyllales,dicots,saguaros,,,NA,Shrub,Americas,Both,Moderate,Limited,Widespread/Common
,,,ceropegia,apocynaceae,gentianales,dicots,lantern flower,,,NA,Herb,Africa,Cultivated,High,Limited,Widespread/Common
cestrum nocturnum,,night jessamine,cestrum,solanaceae,solanales,dicots,,,,NA,Shrub,Central America,Cultivated,Moderate,Limited,Widespread/Common
chamaecyparis lawsoniana,,lawson cypress,chamaecyparis,cupressaceae,cupressales,conifers,false cypresses,,tree,kintbury,Tree,Western North America,Both,High,Limited,Widespread/Common
,,,chamaelirium,melanthiaceae,liliales,monocots,fairy wand,,,NA,Herb,Eastern North America,Wild,Low,None,Locally common
chamaenerion angustifolium,,great willowherb,chamaenerion,onagraceae,myrtales,dicots,fireweeds,,,charlevoix,Herb,Northern Hemisphere,Wild,Low,None,Widespread/Common
chenopodium quinoa,,quinoa,chenopodium,amaranthaceae,caryophyllales,dicots,,amaranth,,Expo,Herb,South America,Cultivated,High,Major,Widespread/Common
,,,chlorophytum,asparagaceae,asparagales,monocots,spider plant,,,NA,Herb,Africa,Cultivated,High,Limited,Widespread/Common
choisya ternata,,mexican orange blossom,choisya,rutaceae,sapindales,dicots,,,,kintbury,Shrub,Central America,Cultivated,High,Limited,Widespread/Common
chromolaena odorata,,triffid,chromolaena,asteraceae,asterales,dicots,,,,luang prabang,Herb,Central America,Wild,Low,None,Widespread/Common
,,,chrysanthemum,asteraceae,asterales,dicots,chrysanthemums,,,NA,Herb,Asia,Cultivated,High,Major,Widespread/Common
cichorium intybus,,chicory,cichorium,asteraceae,asterales,dicots,chicories and endives,,,charlevoix,Herb,Europe,Both,Moderate,Limited,Widespread/Common
cinchona ledgeriana,,quinine,cinchona,rubiaceae,gentianales,dicots,quinines,coffees,tree,Fifty plants,Tree,South America,Cultivated,Moderate,Major,Locally common
,,,cinnamomum,lauraceae,laurales,early angiosperms,camphor laurels,,,NA,Tree,Asia,Both,Moderate,Limited,Widespread/Common
cirsium arvense,,creeping thistle,cirsium,asteraceae,asterales,dicots,,,,kintbury,Herb,Europe,Wild,Low,None,Widespread/Common
cirsium vulgare,,common thistle,cirsium,asteraceae,asterales,dicots,,,,dorset,Herb,Europe,Wild,Low,None,Widespread/Common
,,,cirsium,asteraceae,asterales,dicots,plume thistles,,,NA,Herb,Northern Hemisphere,Wild,Low,None,Widespread/Common
cissus verticillata,,possum grape,cissus,vitaceae,vitales,dicots,cissus,,,around amman,Vine,Central America,Wild,Low,None,Widespread/Common
cistanche phelypaea,,broomrape,cistanche,orobanchaceae,lamiales,dicots,,,,shaumari reserve,Herb,Mediterranean,Wild,Low,None,Uncommon
,,,cistus,cistaceae,malvales,dicots,rock roses,,,NA,Shrub,Mediterranean,Both,Moderate,Limited,Widespread/Common
citrullus lanatus,,watermelon,citrullus,cucurbitaceae,cucurbitales,dicots,,,,NA,Herb,Africa,Cultivated,High,Major,Widespread/Common
citrus aurantium,,seville orange,citrus,rutaceae,sapindales,dicots,citruses,citrus,,Amman garden,Tree,Asia,Cultivated,High,Major,Widespread/Common
citrus limon,,lemon,citrus,rutaceae,sapindales,dicots,citruses,citrus,,Amman garden,Tree,Asia,Cultivated,High,Major,Widespread/Common
clematis tangutica,,golden clematis,clematis,ranunculaceae,ranunculales,dicots,,,,knighton,Vine,Asia,Cultivated,High,Limited,Widespread/Common
,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
clerodendrum paniculatum,,pagoda flower,clerodendrum,lamiaceae,lamiales,dicots,,,,singapore,Shrub,Asia,Cultivated,Moderate,Limited,Widespread/Common
clerodendrum quadriloculare,,starburst bush,clerodendrum,lamiaceae,lamiales,dicots,,,,jakarta,Shrub,Southeast Asia,Cultivated,Moderate,Limited,Widespread/Common
clerodendrum thomsoniae,,bleeding glory-bower,clerodendrum,lamiaceae,lamiales,dicots,,,,jakarta,Vine,Africa,Cultivated,High,Limited,Widespread/Common
clerodendrum trichotomum,,harlequin glorybower,clerodendrum,lamiaceae,lamiales,dicots,,mints,,yarmouk river,Shrub,Asia,Both,Moderate,Limited,Widespread/Common
clethra alnifolia,,sweet pepperbush,clethra,clethraceae,ericales,dicots,clethras,,,greenwich,Shrub,Eastern North America,Both,Moderate,Limited,Widespread/Common
clidemia hirta,,soapbush,clidemia,melastomataceae,myrtales,dicots,,,,singapore,Shrub,Central America,Wild,Low,None,Widespread/Common
clinopodium nepeta,,calamint,clinopodium,lamiaceae,lamiales,dicots,,mints,,Kempinski,Herb,Mediterranean,Both,Moderate,Limited,Widespread/Common
clivia miniata,,natal lily,clivia,amaryllidaceae,asparagales,monocots,natal lilies,,,perth,Herb,Africa,Cultivated,High,Limited,Widespread/Common
,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
coccoloba uvifera,,sea grape,coccoloba,polygonaceae,caryophyllales,dicots,,,,Expo,Tree,Caribbean,Cultivated,Moderate,Limited,Widespread/Common
cochlospermum vitifolium,,buttercup tree,cochlospermum,bixacea,malvales,dicots,,,,yogyakarta,Tree,Central America,Cultivated,Low,None,Widespread/Common
cocos nucifera,,coconut,cocos,arecaceae,arecales,monocots,,palms,tree,Expo,Tree,Tropical coastlines,Cultivated,Moderate,Major,Widespread/Common
coffea arabica,,coffee,coffea,rubiaceae,gentianales,dicots,coffees,coffees,,Fifty plants,Shrub,Africa,Cultivated,High,Major,Widespread/Common
coix lacryma-jobi,,job's tears,coix,poaceae,poales,monocots,,,,singapore,Herb,Asia,Both,Low,Limited,Widespread/Common
,,,cola,malvaceae,malvales,dicots,kola nut,,,NA,Tree,Africa,Both,Low,Limited,Widespread/Common
,,,colchicum,colchicaceae,liliales,monocots,meadow saffron,,,NA,Herb,Europe,Both,Moderate,Limited,Widespread/Common
colocasia esculenta,,taro,colocasia,araceae,alismatales,monocots,,,,luang prabang,Herb,Southeast Asia,Cultivated,Moderate,Major,Widespread/Common
combretum indicum,,burma creeper,combretum,combretaceae,myrtales,dicots,,,,jakarta,Vine,Asia,Cultivated,Moderate,Limited,Widespread/Common
conocarpus erectus,,button mangrove,conocarpus,combretaceae,myrtales,dicots,,,,singapore,Tree,Tropical coastlines,Wild,Low,None,Widespread/Common
,,,convallaria,asparagaceae,asparagales,monocots,lily of the valley,,,NA,Herb,Northern Hemisphere,Both,High,Limited,Widespread/Common
convulvulus arvensis,,field bindweed,convulvulus,convulvulaceae,solanales,dicots,,,,kintbury,Herb,Europe,Wild,Low,None,Widespread/Common
coprosma dumosa,,coprosma,coprosma,rubiaceae,gentianales,dicots,,coffees,,Scandinavian forest,Shrub,New Zealand,Wild,Low,None,Widespread/Common
coprosma repens,,taupata,coprosma,rubiaceae,gentianales,dicots,,,,sydney,Shrub,New Zealand,Both,Moderate,Limited,Widespread/Common
,,,cordia,boraginaceae,boraginales,dicots,manjacks,,,NA,Tree,Tropical worldwide,Both,Low,Limited,Widespread/Common
cordyline australis,,cabbage tree,cordyline,asparagaceae,asparagales,monocots,,,,singapore,Tree,New Zealand,Both,Moderate,Limited,Widespread/Common
cordyline fruticosa,,ti,cordyline,asparagaceae,asparagales,monocots,cabbage trees,,,jakarta,Shrub,Southeast Asia,Cultivated,Moderate,Limited,Widespread/Common
coriandrum sativum,,coriander,coriandrum,apiaceae,apiales,dicots,coriander,carrots,,Fifty plants,Herb,Mediterranean,Cultivated,Moderate,Major,Widespread/Common
cornus alternifolia,,alternate-leaved dogwood,cornus,cornaceae,cornales,dicots,,,,greenwich,Tree,Eastern North America,Wild,Low,None,Widespread/Common
cornus amomum,,silky dogwood,cornus,cornaceae,cornales,dicots,dogwoods,,,greenwich,Shrub,Eastern North America,Wild,Low,None,Widespread/Common
cornus canadensis,,canadian bunchberry,cornus,cornaceae,cornales,dicots,dogwoods,,,charlevoix,Herb,North America,Wild,Low,None,Widespread/Common
cornus sanguinea,,common dogwood,cornus,cornaceae,cornales,dicots,dogwoods,,,london,Shrub,Europe,Wild,Low,None,Widespread/Common
cornus sericea,,red osia,cornus,cornaceae,cornales,dicots,dogwoods,,,gloucester,Shrub,North America,Wild,Low,None,Widespread/Common
corokia cotoneaster,,korokio,corokia,argophyllaceae,asterales,dicots,,,,Kew,Shrub,New Zealand,Both,Low,None,Locally common
correa alba,,white correa,correa,rutaceae,sapindales,dicots,,,,sydney,Shrub,Australia,Both,Moderate,Limited,Widespread/Common
,,,cortaderia,poaceae,poales,monocots,pampas grasses,,,NA,Herb,South America,Both,Moderate,Limited,Widespread/Common
,,,corylopsis,hamamelidaceae,saxifragales,dicots,winter hazel,,,NA,Shrub,Asia,Both,Moderate,Limited,Widespread/Common
corylus americana,,american hazelnut,corylus,betulaceae,fagales,dicots,,,tree,greenwich,Shrub,Eastern North America,Wild,Low,Limited,Widespread/Common
corylus avellana,,common hazel,corylus,betulaceae,fagales,dicots,hazels,,tree,kintbury,Shrub,Europe,Both,Moderate,Limited,Widespread/Common
,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
corymbia ficifolia,,red flowering gum,corymbia,myrtaceae,myrtales,dicots,,,,perth,Tree,Australia,Both,High,Limited,Widespread/Common
cosmos sulphureus,,yellow cosmos,cosmos,asteraceae,asterales,dicots,,,,luang prabang,Herb,Central America,Cultivated,High,Limited,Widespread/Common
costus woodsonii,,red button ginger,costus,costaceae,zingiberales,monocots,,,,jakarta,Herb,Central America,Cultivated,High,Limited,Widespread/Common
cotinus coggygria,,smokebush,cotinus,anacardiaceae,sapindales,dicots,,,,kintbury,Shrub,Europe,Both,High,Limited,Widespread/Common
cotoneaster horizontalis,,,cotoneaster,rosaceae,rosales,dicots,,,,knighton,Shrub,Asia,Both,High,Limited,Widespread/Common
couroupita guianensis,,cannonball tree,couroupita,lecythidacea,ericales,dicots,,,,yogyakarta,Tree,South America,Cultivated,Low,None,Widespread/Common
crambe maritima,,sea kale,crambe,brassicaceae,brassicales,dicots,,,,dorset,Herb,Europe,Wild,Low,Limited,Locally common
crassula ovata,,jade plant,crassula,crassulaceae,saxifragales,dicots,jade plants,,,ottawa,Herb,Africa,Cultivated,High,Limited,Widespread/Common
crassula perforata,,,crassula,crassulaceae,saxifragales,dicots,,,,singapore,Herb,Africa,Cultivated,High,Limited,Widespread/Common
,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
crataegus monogyna,,common hawthorne,crataegus,rosaceae,rosales,dicots,hawthorns,,,london,Tree,Europe,Both,Moderate,Limited,Widespread/Common
crocosmia x crocosmiflora,,montbretia,crocosmia,iridaceae,asparagales,monocots,,,,london,Herb,Africa,Cultivated,High,Limited,Widespread/Common
crocus sativus,,saffron,crocus,iridaceae,asparagales,monocots,crocuses,irises,geophyte,Fifty plants,Herb,Mediterranean,Cultivated,High,Major,Widespread/Common
cucumis melo,,melon,cucumis,cucurbitaceae,cucurbitales,dicots,cucumbers,,,luang prabang,Herb,Africa,Cultivated,High,Major,Widespread/Common
,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
,,,cucurbita,cucurbitaceae,cucurbitales,dicots,squashes,,,NA,Herb,Americas,Cultivated,High,Major,Widespread/Common
cuminum cyminum,,cumin,cuminum,apiaceae,apiales,dicots,cumin,carrots,,Fifty plants,Herb,Mediterranean,Cultivated,Moderate,Major,Widespread/Common
cunninghamia lanceolata,,chinese fir,cunninghamia,cupressaceae,cupressales,conifers,,,tree,london,Tree,China,Both,Low,Limited,Widespread/Common
cupressus cashmeriana,,kashmir cypress,cupressus,cupressaceae,cupressales,conifers,cypresses,,tree,kew,Tree,Himalayas,Both,Low,Limited,Uncommon
cupressus nootkatensis,,nootka cypress,cupressus,cupressaceae,cupressales,conifers,cypresses,,tree,Kew,Tree,Western North America,Both,Low,Limited,Widespread/Common
cupressus sempervirens,,mediterranean cypress,cupressus,cupressaceae,cupressales,conifers,cypresses,cypresses,tree,Scandinavian forest,Tree,Mediterranean,Both,Moderate,Limited,Widespread/Common
,,,cuscuta,convulvulaceae,solanales,dicots,dodder,,,NA,Vine,Worldwide,Wild,Low,None,Widespread/Common
cycas revoluta,,sago cycad,cycas,cycadaceae,cycadales,cycads,cycads,cycads,,Amman garden,Herb,Asia,Cultivated,High,Limited,Widespread/Common
,,,cyclamen,primulaceae,ericales,dicots,sowbread,,,NA,Herb,Mediterranean,Both,High,Limited,Widespread/Common
cydonia oblonga,,quince,cydonia,rosaceae,rosales,dicots,,,,around amman,Tree,Asia,Cultivated,Moderate,Limited,Widespread/Common
cylindropuntia leptocaulis,,christmas cholla,cylindropuntia,cactaceae,caryophyllales,dicots,,cactus,,petra desert,Shrub,North America,Wild,Low,None,Widespread/Common
cymbalaria muralis,,oxford ivy,cymbalaria,plantaginaceae,lamiales,dicots,,,,dorset,Herb,Europe,Wild,Low,None,Widespread/Common
,,,cynara,asteraceae,asterales,dicots,artichokes,,,NA,Herb,Mediterranean,Cultivated,High,Limited,Widespread/Common
cynosurus echinatus,,hedgehog dogtail,cynosurus,poaceae,poales,monocots,,grasses,,amman,Herb,Mediterranean,Wild,Low,None,Widespread/Common
cyperus papyrus,,papyrus,cyperus,cyperaceae,poales,monocots,,sedges,,Fifty plants,Herb,Africa,Both,Low,Limited,Widespread/Common
cytisus scoparius,,scotch broom,cytisus,fabaceae,fabales,dicots,,,,london,Shrub,Europe,Both,Low,None,Widespread/Common
dacrydium cupressinum,,rimu,dacrydium,podocarpaceae,araucariales,conifers,,,,Kew,Tree,New Zealand,Both,Low,Limited,Locally common
dahlia pinnata,,garden dahlia,dahlia,asteraceae,asterales,dicots,dahlias,daisy and sunflower,,Floral bouquet,Herb,Central America,Cultivated,High,Limited,Widespread/Common
,,,dalbergia,fabaceae,fabales,dicots,rosewoods,,,NA,Tree,Tropical worldwide,Both,Low,Limited,Uncommon
daucus carota,,wild carrot,daucus,apiaceae,apiales,dicots,,,,kintbury,Herb,Europe,Wild,Low,None,Widespread/Common
daucus pusillus,,american wild carrot,daucus,apiaceae,apiales,dicots,,carrots,,umm qais,Herb,North America,Wild,Low,None,Widespread/Common
delonix regia,,flame tree,delonix,fabaceae,fabales,dicots,,,,luang prabang,Tree,Madagascar,Cultivated,Moderate,Limited,Widespread/Common
,,,delphinium,ranunculaceae,ranunculales,dicots,larkspur,,,NA,Herb,Northern Hemisphere,Both,High,Limited,Widespread/Common
,,,deschampsia,poaceae,poales,monocots,hairgrass,,,NA,Herb,Northern Hemisphere,Wild,Low,None,Widespread/Common
diamorpha smallii,,elf orpine,diamorpha,crassulaceae,saxifragales,dicots,,stonecrop,,Scandinavian forest,Herb,Eastern North America,Wild,Low,None,Locally common
,,,dianthus,caryophyllaceae,caryophyllales,dicots,carnations,,,NA,Herb,Europe,Cultivated,High,Major,Widespread/Common
dicranopteris linearis,,uluhe,dicranopteris,gleicheniacea,gleicheniales,ferns,,,,singapore,Herb,Tropical worldwide,Wild,Low,None,Widespread/Common
,,,dieffenbachia,araceae,alismatales,monocots,,,,NA,Herb,Central America,Cultivated,High,Limited,Widespread/Common
,,,dierama,iridaceae,asparagales,monocots,fairybells,,,NA,Herb,Africa,Both,Moderate,Limited,Widespread/Common
digitalis purpurea,,foxglove,digitalis,plantaginaceae,lamiales,dicots,foxgloves,,,Fifty plants,Herb,Europe,Both,Moderate,Limited,Widespread/Common
dimorphotheca fruticosa,,trailing african daisy,dimorphotheca,asteraceae,asterales,dicots,,daisy and sunflower,,around amman,Herb,Africa,Cultivated,High,Limited,Widespread/Common
dionaea muscipula,,venus fly trap,dionaea,droseraceae,caryophyllales,dicots,,,,singapore,Herb,Eastern North America,Cultivated,High,Limited,Rare
,,,dionaea,droseraceae,caryophyllales,dicots,fly-traps,,,NA,Herb,Eastern North America,Wild,Low,None,Rare
diplotaxis tenuifolia,,perennial wall-rocket,diplotaxis,brassicaceae,brassicales,dicots,,,,knighton,Herb,Europe,Wild,Low,None,Widespread/Common
dipsacus fullonum,,wild teasel,dipsacus,caprifoliaceae,dipsacales,dicots,,,,knighton,Herb,Europe,Wild,Low,None,Widespread/Common
,,,dipsacus,caprifoliaceae,dipsacales,dicots,teasels,,,NA,Herb,Europe,Wild,Low,None,Widespread/Common
discaria toumatou,,matagouri,discaria,rhamnaceae,rosales,dicots,,,,Scandinavian forest,Shrub,New Zealand,Wild,Low,None,Locally common
,,,disporum,colchicaceae,liliales,monocots,fairy bells,,,NA,Herb,Asia,Wild,Low,None,Widespread/Common
dodonea viscosa,,varnishleaf,dodonaea,sapindaceae,sapindales,dicots,,soapberry,,Amman garden,Shrub,Australia,Both,Low,None,Widespread/Common
doellingeria umbellata,,flat-top white aster,doellingeria,asteraceae,asterales,dicots,whitetops,,,charlevoix,Herb,Eastern North America,Wild,Low,None,Widespread/Common
dombeya wallichi,,tropical hydrangea,dombeya,malvaceae,malvales,dicots,,mallows,,garden,Tree,Madagascar,Cultivated,Moderate,Limited,Widespread/Common
doryanthes excelsa,,gymea lily,doryanthes,doryanthacea,asparagales,monocots,,,,sydney,Herb,Australia,Both,Low,None,Locally common
dracaena draco,,dragon tree,dracaena,asparagaceae,asparagales,monocots,,,,singapore,Tree,Canary Islands,Cultivated,Moderate,Limited,Uncommon
dracaena fragrans,,cornstalk dracaena,dracaena,asparagaceae,asparagales,monocots,,,,luang prabang,Shrub,Africa,Cultivated,High,Limited,Widespread/Common
dracaena reflexa,,song of India,dracaena,asparagaceae,asparagales,monocots,,,,Bermondsey,Shrub,Madagascar,Cultivated,High,Limited,Widespread/Common
dracaena trifasciata,,snake plant,dracaena,asparagaceae,asparagales,monocots,,asparagus,,Expo,Herb,Africa,Cultivated,High,Limited,Widespread/Common
drimia maritima,,sea squill,drimia,asparagaceae,asparagales,monocots,,asparagus,,Scandinavian forest,Herb,Mediterranean,Wild,Low,None,Widespread/Common
drosanthemum floribundum,,pale dewplant,drosanthemum,aizoaceae,caryophyllales,dicots,,stone plants,,embassy garden,Herb,Africa,Cultivated,Moderate,Limited,Widespread/Common
,,,drosera,droseraceae,caryophyllales,dicots,sundew,,,NA,Herb,Worldwide,Wild,Moderate,Limited,Widespread/Common
dryopteris marginalis,,marginal wood fern,dryopteris,dryopteridaceae,polypodiales,ferns,,,,greenwich,Herb,Eastern North America,Wild,Low,None,Widespread/Common
duranta erecta,,skyflower,duranta,verbenaceae,lamiales,dicots,,verbenas,,yarmouk river,Shrub,Central America,Cultivated,High,Limited,Widespread/Common
durio zibethinus,,durian,durio,malvaceae,malvales,dicots,,,,bandung,Tree,Southeast Asia,Cultivated,Moderate,Limited,Widespread/Common
dypsis lutescens,,areca palm,dypsis,arecaceae,arecales,monocots,,,,lombok,Tree,Madagascar,Cultivated,High,Limited,Widespread/Common
,,,ebenopsis,fabaceae,fabales,dicots,texas ebony,,,NA,Tree,North America,Wild,Low,None,Locally common
echinacea purpurea,,purple coneflower,echinacea,asteraceae,asterales,dicots,coneflowers,,,greenwich,Herb,Eastern North America,Both,High,Limited,Widespread/Common
echinocereus pentalophus,,ladyfinger cactus,echinocereus,cactaceae,caryophyllales,dicots,,,,singapore,Herb,North America,Cultivated,High,Limited,Widespread/Common
echinodorus cordifolius,,creeping burhead,echinodorus,alismataceae,alismatales,monocots,,,,jakarta,Herb,Americas,Both,Low,None,Widespread/Common
echinops ritro,,southern globe-thistle,echinops,asteraceae,asterales,dicots,,,,london,Herb,Mediterranean,Both,Moderate,Limited,Widespread/Common
,,,echinops,asteraceae,asterales,dicots,globe thistles,,,NA,Herb,Europe,Both,Moderate,Limited,Widespread/Common
echium pininana,,giant vipers-bugloss,echium,boraginaceae,boraginales,dicots,,,,Kew,Herb,Canary Islands,Cultivated,Moderate,Limited,Locally common
ehrharta erecta,,panic veldtgrass,ehrharta,poaceae,poales,monocots,,,,perth,Herb,Africa,Wild,Low,None,Widespread/Common
,,,elaeis,arecaceae,arecales,monocots,oil palms,,,NA,Tree,Africa,Cultivated,Moderate,Major,Widespread/Common
elaeagnus angustifolia,,russian olive,eleagnus,eleagnaceae,rosales,dicots,,,,Expo,Tree,Asia,Both,Low,Limited,Widespread/Common
eleagnus umbellata,,autumn olive,eleagnus,eleagnaceae,rosales,dicots,oleasters,,,greenwich,Shrub,Asia,Both,Low,None,Widespread/Common
,,,eleocharis,cyperaceae,poales,monocots,spikesedges,,,NA,Herb,Worldwide,Wild,Low,None,Widespread/Common
elettaria cardamomum,,cardamom,elettaria,zingiberaceae,zingiberales,monocots,,ginger,,Fifty plants,Herb,India,Cultivated,Moderate,Major,Widespread/Common
eleusine indica,,goosegrass,eleusine,poaceae,poales,monocots,,,,luang prabang,Herb,Africa,Wild,Low,None,Widespread/Common
encephalartos horridus,,eastern cape blue cycad,encephalartos,zamiaceae,cycadales,cycads,,,,kew,Herb,Africa,Cultivated,Low,None,Rare
